id,date,user,pc,activity,source_ip,status
{JJQ9K6RE-4Q6QDY4L-MCT6},01/16/2025 19:35:07,U0001,PC-5001,Logoff,192.168.1.21,Success
{Z7W2SEHE-2ATN2TWD-L9ZS},01/17/2025 08:54:10,U0001,PC-5001,Logon,192.168.1.21,Success
{3C9XQYM5-2XG8P6BE-FFLZ},01/17/2025 19:49:26,U0001,PC-5001,Logoff,192.168.1.21,Success
{4JWTEKTS-G7FXZV4U-3BBX},01/20/2025 08:57:18,U0001,PC-5001,Logon,192.168.1.21,Success
{X1OXRWK8-R2YKCCPR-HVLZ},01/20/2025 19:36:16,U0001,PC-5001,Logoff,192.168.1.21,Success
{MO1SDIEQ-FB85P863-7ZGF},01/21/2025 08:46:55,U0001,PC-5001,Logon,192.168.1.21,Success
{RLA8S8HM-BR5XQT4P-501N},01/21/2025 19:32:29,U0001,PC-5001,Logoff,192.168.1.21,Success
{UHTCS1K9-YE9O2M71-HSSB},01/22/2025 08:25:03,U0001,PC-5001,Logon,192.168.1.21,Success
{LRQVSLWF-90KM3TZK-3NY9},01/22/2025 19:08:45,U0001,PC-5001,Logoff,192.168.1.21,Success
{20YAR821-UZVGWW4F-YB8D},01/23/2025 08:37:19,U0001,PC-5001,Logon,192.168.1.21,Success
{LFYO1750-CEHLXSLG-6MM1},01/23/2025 19:01:28,U0001,PC-5001,Logoff,192.168.1.21,Success
{XYVGIUI9-KKHZLM72-JEYN},01/24/2025 08:46:43,U0001,PC-5001,Logon,192.168.1.21,Success
{M1FB8C7X-0H3JUJD0-IB6I},01/24/2025 19:25:52,U0001,PC-5001,Logoff,192.168.1.21,Success
{RYE89FX5-RX1KKC1X-I04B},01/27/2025 08:21:45,U0001,PC-5001,Logon,192.168.1.21,Success
{P47B42G0-5KBKV7MQ-XS6E},01/27/2025 19:58:11,U0001,PC-5001,Logoff,192.168.1.21,Success
{J3L0XZAM-KYGVWOPL-OD9R},01/28/2025 08:32:29,U0001,PC-5001,Logon,192.168.1.21,Success
{ANQJLUUJ-MIYQFY75-1YW7},01/28/2025 19:59:15,U0001,PC-5001,Logoff,192.168.1.21,Success
{H8RQ9NZ6-1231YV2S-TN7E},01/29/2025 08:23:39,U0001,PC-5001,Logon,192.168.1.21,Success
{6HTF4PYZ-R6QCEOUU-YLAJ},01/29/2025 19:53:35,U0001,PC-5001,Logoff,192.168.1.21,Success
{HCPZTC69-QKGEX08N-6Q7N},01/30/2025 08:00:47,U0001,PC-5001,Logon,192.168.1.21,Success
{85E4E9OE-9419QZPN-IQFG},01/30/2025 19:05:43,U0001,PC-5001,Logoff,192.168.1.21,Success
{1BXW76IC-VQY5IBPT-11F9},01/31/2025 08:56:46,U0001,PC-5001,Logon,192.168.1.21,Success
{6UU13I59-SOJUV0GY-UBMX},01/31/2025 19:14:52,U0001,PC-5001,Logoff,192.168.1.21,Success
{OKGTII4F-QCOOTNJL-CQNT},02/03/2025 08:44:26,U0001,PC-5001,Logon,192.168.1.21,Success
{BNVBC2VY-HH6K6HG0-016Z},02/03/2025 19:53:12,U0001,PC-5001,Logoff,192.168.1.21,Success
{OILKQXLM-5Q201LHL-B50A},02/04/2025 08:45:13,U0001,PC-5001,Logon,192.168.1.21,Success
{VZKHIUIT-7M1R00Q0-MFTG},02/04/2025 19:35:59,U0001,PC-5001,Logoff,192.168.1.21,Success
{98S4C3BA-EWCFHQCW-76XA},02/05/2025 08:56:34,U0001,PC-5001,Logon,192.168.1.21,Success
{OAZTKSZP-7G7SIWJM-2C8Q},02/05/2025 19:34:35,U0001,PC-5001,Logoff,192.168.1.21,Success
{IY4X41DN-TCAGRP2U-4DTB},02/06/2025 08:15:44,U0001,PC-5001,Logon,192.168.1.21,Success
{55RBC76U-B7L8V1ZO-CFI4},02/06/2025 19:13:57,U0001,PC-5001,Logoff,192.168.1.21,Success
{6L1F90S9-BP4M18O1-BJ9R},02/07/2025 08:24:43,U0001,PC-5001,Logon,192.168.1.21,Success
{7PYXDW2Z-CFZW0LDA-LMJE},02/07/2025 19:22:35,U0001,PC-5001,Logoff,192.168.1.21,Success
{OAMDVLNK-ND669UGN-EKRC},02/10/2025 08:35:32,U0001,PC-5001,Logon,192.168.1.21,Success
{PRCJIWVH-DK8LW2LM-349E},02/10/2025 19:27:17,U0001,PC-5001,Logoff,192.168.1.21,Success
{8HL88KZR-UIN3OEUV-TYT8},02/11/2025 08:20:38,U0001,PC-5001,Logon,192.168.1.21,Success
{H23C42YF-KJFPNQVU-T75P},02/11/2025 19:29:45,U0001,PC-5001,Logoff,192.168.1.21,Success
{8Z3V6DIX-FWUXX8L2-DDH0},02/12/2025 08:02:50,U0001,PC-5001,Logon,192.168.1.21,Success
{YHNQYYF9-RK7D30MM-2SMD},02/12/2025 19:35:37,U0001,PC-5001,Logoff,192.168.1.21,Success
{QCBZAMD2-70STLPQ2-WGXO},02/13/2025 08:46:44,U0001,PC-5001,Logon,192.168.1.21,Success
{5QPAHKZ2-U2TNHEYR-8LNO},02/13/2025 19:47:39,U0001,PC-5001,Logoff,192.168.1.21,Success
{MQGY27VY-LIENFNVU-PRT7},01/15/2025 07:07:22,U0002,PC-5002,Logon,192.168.1.22,Success
{TRFLQBMA-E38SRYO4-RCB1},01/15/2025 16:59:11,U0002,PC-5002,Logoff,192.168.1.22,Success
{JTGQ01TE-E13N3BZT-9D31},01/16/2025 07:18:02,U0002,PC-5002,Logon,192.168.1.22,Success
{9QM3P91I-3VMZWFFH-HCMK},01/16/2025 16:19:55,U0002,PC-5002,Logoff,192.168.1.22,Success
{LZKJ49YD-82795E5I-Z31Y},01/17/2025 07:34:10,U0002,PC-5002,Logon,192.168.1.22,Success
{UJOQW5DS-K7N8LA10-0QXM},01/17/2025 16:31:09,U0002,PC-5002,Logoff,192.168.1.22,Success
{HPHJ3MUU-RMYBD2QE-4PA8},01/18/2025 14:25:00,U0002,PC-5002,Logon,192.168.1.22,Success
{EXF7JXJN-6FOKZIXZ-AREI},01/20/2025 07:44:58,U0002,PC-5002,Logon,192.168.1.22,Success
{AZ39PECN-0DL5E11E-9FTA},01/20/2025 16:43:28,U0002,PC-5002,Logoff,192.168.1.22,Success
{P0WFOY4D-D1VN8LFJ-DTVV},01/21/2025 07:41:10,U0002,PC-5002,Logon,192.168.1.22,Success
{A45HVGOX-22INIWC5-AMLN},01/21/2025 16:49:44,U0002,PC-5002,Logoff,192.168.1.22,Success
{PTGQ9CVA-H78OKZ1P-OXTF},01/22/2025 07:53:36,U0002,PC-5002,Logon,192.168.1.22,Success
{C79FLV1X-XLP8II7E-WBXX},01/22/2025 16:05:19,U0002,PC-5002,Logoff,192.168.1.22,Success
{AEARMS3J-N050E6MP-SJ9W},01/23/2025 07:11:07,U0002,PC-5002,Logon,192.168.1.22,Success
{SB4GF16Y-E0A4ABN7-G8B2},01/23/2025 16:31:29,U0002,PC-5002,Logoff,192.168.1.22,Success
{XII6L3UE-YBISBO55-1LDQ},01/24/2025 07:45:47,U0002,PC-5002,Logon,192.168.1.22,Success
{K20IN891-0T2F7ATW-YAM1},01/24/2025 16:23:12,U0002,PC-5002,Logoff,192.168.1.22,Success
{H9P89FKB-I4O6Q0US-WOVC},01/27/2025 07:19:06,U0002,PC-5002,Logon,192.168.1.22,Success
{IJL2Z0LJ-CH2VFFQO-T8HL},01/27/2025 16:42:08,U0002,PC-5002,Logoff,192.168.1.22,Success
{EFY3ZB4L-DIMSYJ9B-OQ0I},01/28/2025 07:16:54,U0002,PC-5002,Logon,192.168.1.22,Success
{2FA39E3N-WXUJ3AC6-PE63},01/28/2025 16:29:06,U0002,PC-5002,Logoff,192.168.1.22,Success
{BQGU3OBY-GHGK5BWI-KOTC},01/29/2025 07:21:07,U0002,PC-5002,Logon,192.168.1.22,Success
{EH5SW229-2MTR6SNG-LH62},01/29/2025 16:17:24,U0002,PC-5002,Logoff,192.168.1.22,Success
{9T199DXJ-37C9H42M-44GV},01/30/2025 07:03:51,U0002,PC-5002,Logon,192.168.1.22,Success
{Z6BZ8UUG-95RLRDIH-SA7H},01/30/2025 16:51:47,U0002,PC-5002,Logoff,192.168.1.22,Success
{Z74LAV71-448N7ODK-EF82},01/31/2025 07:08:21,U0002,PC-5002,Logon,192.168.1.22,Success
{LZU6WMX3-N0KGAZU4-1UGL},01/31/2025 16:31:41,U0002,PC-5002,Logoff,192.168.1.22,Success
{DRLCMLW8-3Y0MAHYM-2ZBP},02/03/2025 07:40:36,U0002,PC-5002,Logon,192.168.1.22,Success
{5RNTDR5X-YFC4KL8C-GN0T},02/03/2025 16:26:10,U0002,PC-5002,Logoff,192.168.1.22,Success
{M96ZPXVP-BL9OT7TX-KDOT},02/04/2025 07:57:05,U0002,PC-5002,Logon,192.168.1.22,Success
{BAD3WRDH-W9RE2Q6J-XNNN},02/04/2025 16:31:09,U0002,PC-5002,Logoff,192.168.1.22,Success
{BPJ4UFZD-Y3O1ICNS-8Y7U},02/05/2025 07:11:28,U0002,PC-5002,Logon,192.168.1.22,Success
{KO4BUSU9-F8Q8GHGB-CYH3},02/05/2025 16:15:30,U0002,PC-5002,Logoff,192.168.1.22,Success
{VL03DUT4-S7AZV2EF-UU8D},02/06/2025 07:09:53,U0002,PC-5002,Logon,192.168.1.22,Success
{22555JXU-RGOWYOO5-YBRJ},02/06/2025 16:06:36,U0002,PC-5002,Logoff,192.168.1.22,Success
{M2L44Y9I-K01L0VDP-6ORS},02/07/2025 07:23:01,U0002,PC-5002,Logon,192.168.1.22,Success
{C2CZO2SU-G5HCBBMH-NQO7},02/07/2025 16:23:52,U0002,PC-5002,Logoff,192.168.1.22,Success
{Q8RTM4J3-DAB42HHI-HXS5},02/10/2025 07:31:38,U0002,PC-5002,Logon,192.168.1.22,Success
{A6XVAJ2K-8XPNMJQY-3ODS},02/10/2025 16:49:43,U0002,PC-5002,Logoff,192.168.1.22,Success
{4UVKYRMJ-LJX8XGSI-C43O},02/11/2025 07:42:53,U0002,PC-5002,Logon,192.168.1.22,Success
{FARK6O0U-93MZYWR7-MKGX},02/11/2025 16:20:43,U0002,PC-5002,Logoff,192.168.1.22,Success
{KQ00U686-XII5P5NV-QEBW},02/12/2025 07:35:11,U0002,PC-5002,Logon,192.168.1.22,Success
{C6S5NKB4-EHOU6QLZ-2RWG},02/12/2025 16:37:39,U0002,PC-5002,Logoff,192.168.1.22,Success
{AJ1G1R1D-WWO8NBHN-AL3G},02/13/2025 07:40:03,U0002,PC-5002,Logon,192.168.1.22,Success
{WIYMENVG-3KK0VM59-M6MG},02/13/2025 16:43:00,U0002,PC-5002,Logoff,192.168.1.22,Success
{3AI9HASE-Z2NX1WVB-D4BE},01/15/2025 10:58:58,U0003,PC-5003,Logon,192.168.1.23,Success
{EJZHYAPD-SWZP6SWK-2RV2},01/15/2025 16:28:24,U0003,PC-5003,Logoff,192.168.1.23,Success
{9MOFT6YR-IADDUR82-C06X},01/16/2025 10:53:33,U0003,PC-5003,Logon,192.168.1.23,Success
{JB354MYP-E46AEXL6-8J0N},01/16/2025 16:29:18,U0003,PC-5003,Logoff,192.168.1.23,Success
{EOQ4YRP5-GE094D6R-UPW2},01/17/2025 10:21:11,U0003,PC-5003,Logon,192.168.1.23,Success
{5506RR5P-CXA5S00I-85SY},01/17/2025 16:39:01,U0003,PC-5003,Logoff,192.168.1.23,Success
{RXXF36WA-7SQRF1LL-KSTN},01/20/2025 10:46:15,U0003,PC-5003,Logon,192.168.1.23,Success
{CPUDRL90-AOBT328W-6UXQ},01/20/2025 16:52:15,U0003,PC-5003,Logoff,192.168.1.23,Success
{334L1VZN-QDXAMW2T-ND6R},01/21/2025 10:21:23,U0003,PC-5003,Logon,192.168.1.23,Success
{0OJHE4H3-GM1BWYE6-QVS8},01/21/2025 16:52:45,U0003,PC-5003,Logoff,192.168.1.23,Success
{0TPV726Y-G3DXVL5P-VYIO},01/22/2025 10:00:33,U0003,PC-5003,Logon,192.168.1.23,Success
{QEOZ0KZ4-Z7WHWKMY-9X8S},01/22/2025 16:21:18,U0003,PC-5003,Logoff,192.168.1.23,Success
{LEMRUYP0-4K43SAFY-H1FK},01/23/2025 10:44:40,U0003,PC-5003,Logon,192.168.1.23,Success
{4YK1B3D5-050UI22K-X7N8},01/23/2025 16:16:09,U0003,PC-5003,Logoff,192.168.1.23,Success
{8B0H54PI-WZNV0H0G-Q9C8},01/24/2025 10:43:20,U0003,PC-5003,Logon,192.168.1.23,Success
{EBKJF4AQ-7B7V1W4K-2TCZ},01/24/2025 16:47:32,U0003,PC-5003,Logoff,192.168.1.23,Success
{2FTOM5XL-K8WRU1XE-MIX7},01/27/2025 10:33:04,U0003,PC-5003,Logon,192.168.1.23,Success
{YL68NTK6-3N2QB6GS-8G8T},01/27/2025 16:15:02,U0003,PC-5003,Logoff,192.168.1.23,Success
{CY15PDTZ-91X70FQL-DB2U},01/28/2025 10:00:40,U0003,PC-5003,Logon,192.168.1.23,Success
{IJNWPAYT-XW1VZC7D-2KD1},01/28/2025 16:36:52,U0003,PC-5003,Logoff,192.168.1.23,Success
{OXRTEO2T-8FY620N8-TTEA},01/29/2025 10:28:24,U0003,PC-5003,Logon,192.168.1.23,Success
{T8K06MOX-SFH4GG24-479Q},01/29/2025 16:38:25,U0003,PC-5003,Logoff,192.168.1.23,Success
{KCD0RLEX-DW6LQWLV-UNLP},01/30/2025 10:35:04,U0003,PC-5003,Logon,192.168.1.23,Success
{IH0P4E05-QMKTGV44-FTJ5},01/30/2025 16:00:20,U0003,PC-5003,Logoff,192.168.1.23,Success
{CASBUOV6-TT9Q1NI1-0KQS},01/31/2025 10:04:46,U0003,PC-5003,Logon,192.168.1.23,Success
{SX43WFSQ-G8X80RMH-RCNB},01/31/2025 16:25:23,U0003,PC-5003,Logoff,192.168.1.23,Success
{QQB9LZS3-4JTGXNX4-SN6S},02/03/2025 10:23:24,U0003,PC-5003,Logon,192.168.1.23,Success
{5RRVSFFC-XHGNZEI3-ZRRH},02/03/2025 16:22:52,U0003,PC-5003,Logoff,192.168.1.23,Success
{4ABUFWBU-CJG8VUAZ-XKDQ},02/04/2025 10:10:41,U0003,PC-5003,Logon,192.168.1.23,Success
{RHOFU1WS-GY7VCNEA-S6Y3},02/04/2025 16:30:55,U0003,PC-5003,Logoff,192.168.1.23,Success
{G6V5T1DX-6TA7YPP5-ZP7R},02/05/2025 10:38:06,U0003,PC-5003,Logon,192.168.1.23,Success
{M264UPJ1-6DVTJA0A-SSNH},02/05/2025 16:49:24,U0003,PC-5003,Logoff,192.168.1.23,Success
{ODPVJTUW-9OHTUGUR-9U1O},02/06/2025 10:51:20,U0003,PC-5003,Logon,192.168.1.23,Success
{5EI28DS2-2WYBOW23-QVDJ},02/06/2025 16:08:54,U0003,PC-5003,Logoff,192.168.1.23,Success
{V07OXK8C-1GRA47SH-2SZW},02/07/2025 10:23:05,U0003,PC-5003,Logon,192.168.1.23,Success
{MX9DJOYO-HAZ7T0UU-M3I8},02/07/2025 16:43:02,U0003,PC-5003,Logoff,192.168.1.23,Success
{GSUSMESJ-T2JPNRIM-1Y65},02/10/2025 10:00:16,U0003,PC-5003,Logon,192.168.1.23,Success
{JN2HZ2OM-TZJKO0MT-GLHU},02/10/2025 16:30:07,U0003,PC-5003,Logoff,192.168.1.23,Success
{Y6RH05HH-IWFD7YXW-1TBR},02/11/2025 10:11:47,U0003,PC-5003,Logon,192.168.1.23,Success
{R965R96K-HUB2RTSO-YG9Z},02/11/2025 16:39:20,U0003,PC-5003,Logoff,192.168.1.23,Success
{YAHULWJT-IQWNRHZN-4KGE},02/12/2025 10:29:20,U0003,PC-5003,Logon,192.168.1.23,Success
{IDJIPNF8-F3GR94SZ-2KUU},02/12/2025 16:36:43,U0003,PC-5003,Logoff,192.168.1.23,Success
{YC3RWQMM-U7JAE58H-UXG2},02/13/2025 10:25:06,U0003,PC-5003,Logon,192.168.1.23,Success
{YR06NKWF-G3MWU4CF-ILKJ},02/13/2025 16:22:20,U0003,PC-5003,Logoff,192.168.1.23,Success
{JQ5NV8OG-A0X7ZCGD-C5TA},01/15/2025 08:41:25,U0004,PC-5004,Logon,192.168.1.24,Success
{1CJFX5LI-KWE4BX4L-R9TJ},01/15/2025 16:25:33,U0004,PC-5004,Logoff,192.168.1.24,Success
{8ZGVWWUS-XLMT2PNJ-KA34},01/16/2025 08:28:08,U0004,PC-5004,Logon,192.168.1.24,Success
{QA78RAPK-IANOUOF0-ONJP},01/16/2025 16:22:18,U0004,PC-5004,Logoff,192.168.1.24,Success
{163YK03O-4GKWWJWG-ABTG},01/17/2025 08:15:33,U0004,PC-5004,Logon,192.168.1.24,Success
{JZ0IFRML-29Q2L48C-1CQG},01/17/2025 16:06:18,U0004,PC-5004,Logoff,192.168.1.24,Success
{E1I1P0BQ-1S9RYLLW-B7SJ},01/20/2025 08:53:00,U0004,PC-5004,Logon,192.168.1.24,Success
{H55HEWLG-JE2AB2RV-NDFD},01/20/2025 16:40:19,U0004,PC-5004,Logoff,192.168.1.24,Success
{79WCXZ2E-I9212PGY-ME6R},01/21/2025 08:39:21,U0004,PC-5004,Logon,192.168.1.24,Success
{KZGGM0J3-6TCFKJNA-WNGA},01/21/2025 16:28:35,U0004,PC-5004,Logoff,192.168.1.24,Success
{1IZXTNSR-TWLXDSC4-E5HR},01/22/2025 08:54:23,U0004,PC-5004,Logon,192.168.1.24,Success
{U4XSZJNV-C7HR6C2C-U7ON},01/22/2025 16:06:02,U0004,PC-5004,Logoff,192.168.1.24,Success
{3JBCK88D-0TGSIWG0-ODWM},01/23/2025 08:45:03,U0004,PC-5004,Logon,192.168.1.24,Success
{X5GGOMF9-PML9LN1P-0VUH},01/23/2025 16:29:44,U0004,PC-5004,Logoff,192.168.1.24,Success
{7J8QO09V-S9KKH4A3-YJTU},01/24/2025 08:49:35,U0004,PC-5004,Logon,192.168.1.24,Success
{FBMENUI3-DO7002G3-YU6V},01/24/2025 16:59:36,U0004,PC-5004,Logoff,192.168.1.24,Success
{CC1M3O55-IXVA1NKB-TFSH},01/27/2025 08:36:24,U0004,PC-5004,Logon,192.168.1.24,Success
{0OQVSHKO-ECUBODS1-EEUR},01/27/2025 16:03:43,U0004,PC-5004,Logoff,192.168.1.24,Success
{HW0IC1L7-DYPMLVAK-9W9P},01/28/2025 08:41:36,U0004,PC-5004,Logon,192.168.1.24,Success
{B3HN14EB-8753AYEQ-AHTH},01/28/2025 16:09:28,U0004,PC-5004,Logoff,192.168.1.24,Success
{JR0FZAUX-BGK2WBXA-NJ4X},01/29/2025 08:33:48,U0004,PC-5004,Logon,192.168.1.24,Success
{A5XIN9DL-5TGSQ7AI-TMOF},01/29/2025 16:55:06,U0004,PC-5004,Logoff,192.168.1.24,Success
{MWI9S3W5-63BTKF6X-DN8W},01/30/2025 08:22:43,U0004,PC-5004,Logon,192.168.1.24,Success
{IIF86LTH-ET25LZSE-99F7},01/30/2025 16:40:43,U0004,PC-5004,Logoff,192.168.1.24,Success
{LU8EL501-5OOP767J-2DG1},01/31/2025 08:58:10,U0004,PC-5004,Logon,192.168.1.24,Success
{JUIIYMYR-SVZN4REG-B1AJ},01/31/2025 16:39:39,U0004,PC-5004,Logoff,192.168.1.24,Success
{HG8PWY55-P1V3ZO7U-TXZB},02/03/2025 08:12:48,U0004,PC-5004,Logon,192.168.1.24,Success
{Q55IT9BN-18GP51KF-K7Y6},02/03/2025 16:06:28,U0004,PC-5004,Logoff,192.168.1.24,Success
{XDSGV6TO-LAQ665DL-XZF0},02/04/2025 08:29:53,U0004,PC-5004,Logon,192.168.1.24,Success
{ZWDZ09WF-TBGM55FF-1BL0},02/04/2025 16:05:07,U0004,PC-5004,Logoff,192.168.1.24,Success
{WEEHWJQ4-TA5IVROC-VITW},02/05/2025 08:28:18,U0004,PC-5004,Logon,192.168.1.24,Success
{3BFXB4Y4-K7BPGYVY-V2GQ},02/05/2025 16:35:52,U0004,PC-5004,Logoff,192.168.1.24,Success
{7DKNNCPT-KEZJSSZW-D0W9},02/06/2025 08:37:23,U0004,PC-5004,Logon,192.168.1.24,Success
{Y79KVLS9-MEUSWRGV-Z9AA},02/06/2025 16:30:46,U0004,PC-5004,Logoff,192.168.1.24,Success
{E429OMUW-AHK2LSLA-YM0W},02/07/2025 08:40:50,U0004,PC-5004,Logon,192.168.1.24,Success
{GLMY62XR-W6TM2O04-K0LT},02/07/2025 16:01:53,U0004,PC-5004,Logoff,192.168.1.24,Success
{5M8KB9W4-UOV51ZLB-ORIQ},02/10/2025 08:51:58,U0004,PC-5004,Logon,192.168.1.24,Success
{SGNBHDS2-6FMR5LL1-D9S9},02/10/2025 16:19:13,U0004,PC-5004,Logoff,192.168.1.24,Success
{BN5ELB45-L6D10A1W-HHKT},02/11/2025 08:13:46,U0004,PC-5004,Logon,192.168.1.24,Success
{YJFE8UDT-TJ72UGL6-TBB6},02/11/2025 16:49:28,U0004,PC-5004,Logoff,192.168.1.24,Success
{NDOZ6WYQ-MLH13C71-UD2Z},02/12/2025 08:03:06,U0004,PC-5004,Logon,192.168.1.24,Success
{LX1Q8F6J-NG7L4LRC-ER4K},02/12/2025 16:06:29,U0004,PC-5004,Logoff,192.168.1.24,Success
{USOZDUCK-QVIIFRCH-YP9U},02/13/2025 08:22:38,U0004,PC-5004,Logon,192.168.1.24,Success
{YGY0Z4EV-LDQLOVYV-3LXC},02/13/2025 16:21:34,U0004,PC-5004,Logoff,192.168.1.24,Success
{FU131XQK-WQH5K2Y7-7Z69},01/15/2025 07:13:52,U0005,PC-5005,Logon,192.168.1.25,Success
{WS44C68A-U9DKBPVW-ZOPH},01/15/2025 17:37:00,U0005,PC-5005,Logoff,192.168.1.25,Success
{FT4MPK5E-AXF5X9EE-346Z},01/16/2025 07:11:30,U0005,PC-5005,Logon,192.168.1.25,Success
{WQP3NIPA-R0ZJ7UBB-RNU8},01/16/2025 17:59:27,U0005,PC-5005,Logoff,192.168.1.25,Success
