id,timestamp,action,src_ip,dst_ip,dst_port,protocol,bytes_out,threat,user
{0PD1F8NU-L1H6ZIE2-1J95},2025-01-16T18:21:30Z,block,192.168.1.20,140.54.148.68,135,TCP,2438,policy_violation,allison.hill
{OE5TDC6E-X5JPVRAO-3MF6},2025-01-16T18:01:25Z,allow,192.168.1.20,1.1.1.1,443,TCP,44608,,allison.hill
{89K5QWTP-JNC0Y13M-HYKX},2025-01-16T10:28:07Z,allow,192.168.1.20,1.1.1.1,443,TCP,8746,,allison.hill
{TKFAU0U0-TIWCGYS1-U60J},2025-01-16T10:51:35Z,allow,192.168.1.20,8.8.8.8,80,TCP,52108,,allison.hill
{9GO08UCR-6R3W2A2L-PU7W},2025-01-16T15:57:32Z,allow,192.168.1.20,1.1.1.1,53,TCP,6101,,allison.hill
{7ZITOMNL-AB5YX8GT-CK7K},2025-01-16T08:56:42Z,allow,192.168.1.20,8.8.8.8,443,TCP,43496,,allison.hill
{25M40LVU-4T9DTEPE-3RMT},2025-01-16T17:51:00Z,block,192.168.1.20,55.170.122.194,445,TCP,930,,allison.hill
{V0USHSWF-H5BY88WD-C9HL},2025-01-16T08:18:38Z,allow,192.168.1.20,172.217.0.0,443,TCP,52319,,allison.hill
{YPJ64C1L-MQDOC51A-NARM},2025-01-16T14:08:33Z,allow,192.168.1.20,1.1.1.1,443,TCP,54363,,allison.hill
{537YDIJ6-0V5UQ3JH-V8QX},2025-01-16T15:08:09Z,allow,192.168.1.20,8.8.8.8,53,TCP,54125,,allison.hill
{55VHLDNS-02A87U9C-GZ00},2025-01-16T08:00:45Z,allow,192.168.1.20,1.1.1.1,80,TCP,39463,,allison.hill
{KYKX30KO-ZFCSDS6C-U51A},2025-01-16T11:54:38Z,allow,192.168.1.20,172.217.0.0,443,TCP,16032,,allison.hill
{B7GK61FO-Y15O32ZI-SEB5},2025-01-16T14:55:29Z,allow,192.168.1.20,172.217.0.0,443,TCP,25459,,allison.hill
{VEOYE9Y4-RJVDH43Q-2AC3},2025-01-16T17:35:10Z,allow,192.168.1.20,8.8.8.8,80,TCP,22230,,allison.hill
{IR2NH4CY-JL4UK0EQ-RAAX},2025-01-16T15:23:00Z,allow,192.168.1.20,8.8.8.8,53,TCP,58346,,allison.hill
{7PMSG5A9-6Q6JQJWF-48QJ},2025-01-16T11:29:08Z,allow,192.168.1.20,172.217.0.0,53,TCP,20795,,allison.hill
{19X2ZWAB-LJ6RYCFX-7XTO},2025-01-16T12:40:59Z,allow,192.168.1.20,172.217.0.0,443,TCP,43909,,allison.hill
{8ST5MKZ4-GXIS6V1M-3T91},2025-01-16T08:20:48Z,allow,192.168.1.20,172.217.0.0,80,TCP,27651,,allison.hill
{C1W1EY0Y-J4PLELHN-ZTTN},2025-01-16T07:34:50Z,allow,192.168.1.20,1.1.1.1,443,TCP,33114,,allison.hill
{V5X0MMT6-5P1Y1V12-UVAL},2025-01-16T12:34:49Z,allow,192.168.1.20,1.1.1.1,53,TCP,16199,,allison.hill
{PK7BIUAR-IODRWTBL-KBR4},2025-01-16T11:53:15Z,block,192.168.1.20,106.203.139.25,23,TCP,3459,geo_blocked,allison.hill
{JKK8YBP5-7MYH0F9H-NF0C},2025-01-17T12:18:43Z,allow,192.168.1.20,8.8.8.8,443,TCP,15012,,allison.hill
{UJS4JMQC-WUP217L2-8R3X},2025-01-17T14:56:43Z,allow,192.168.1.20,172.217.0.0,53,TCP,11312,,allison.hill
{DMZ49A4P-O628FJFY-O9LA},2025-01-17T15:01:30Z,allow,192.168.1.20,8.8.8.8,443,TCP,54445,,allison.hill
{EBSTR80U-PNV89XPP-3ZAV},2025-01-17T12:27:34Z,allow,192.168.1.20,1.1.1.1,80,TCP,11478,,allison.hill
{TL3W9N2P-HZSEUMXK-68FH},2025-01-17T19:01:46Z,allow,192.168.1.20,1.1.1.1,80,TCP,7491,,allison.hill
{F3CVJJK4-TPEB59WS-37JB},2025-01-17T11:31:28Z,allow,192.168.1.20,1.1.1.1,443,TCP,37526,,allison.hill
{CSW5WKH8-TW1D2BUC-7WM8},2025-01-17T16:17:25Z,allow,192.168.1.20,1.1.1.1,443,TCP,4050,,allison.hill
{ESAYI7UU-P9Z3LA6E-PYZ3},2025-01-17T14:48:47Z,allow,192.168.1.20,1.1.1.1,443,TCP,32040,,allison.hill
{6HSRGUKV-GY9JS8BA-CWR8},2025-01-17T12:50:14Z,allow,192.168.1.20,1.1.1.1,443,TCP,37112,,allison.hill
{PKS9H49F-MOJKYV25-PW9E},2025-01-17T10:52:08Z,allow,192.168.1.20,172.217.0.0,80,TCP,39276,,allison.hill
{ZF5AH8JS-9AWDY1XL-JNN5},2025-01-17T17:38:57Z,allow,192.168.1.20,172.217.0.0,80,TCP,12386,,allison.hill
{WUHE30J6-CUNVIGE0-RI74},2025-01-17T10:04:05Z,allow,192.168.1.20,172.217.0.0,80,TCP,27564,,allison.hill
{HSFV9SQL-GSTYDHR5-GTTV},2025-01-17T13:00:35Z,allow,192.168.1.20,172.217.0.0,443,TCP,40695,,allison.hill
{73WCEMMU-4QPBC9M3-7AKK},2025-01-17T09:04:20Z,allow,192.168.1.20,8.8.8.8,53,TCP,50309,,allison.hill
{BXERH1V0-9RP2CKUB-9PAV},2025-01-17T07:30:22Z,allow,192.168.1.20,1.1.1.1,443,TCP,40582,,allison.hill
{JV9TUNV7-U6D45WWY-P8Z0},2025-01-17T10:54:33Z,allow,192.168.1.20,1.1.1.1,53,TCP,40865,,allison.hill
{OSPF88M6-URUNLB35-6IXN},2025-01-17T14:35:22Z,allow,192.168.1.20,172.217.0.0,80,TCP,59094,,allison.hill
{KZ2OBZTA-B4M30C84-AUYB},2025-01-17T10:40:07Z,allow,192.168.1.20,8.8.8.8,443,TCP,7087,,allison.hill
{BHM1V536-YQVXNS1X-E6W4},2025-01-17T07:19:54Z,allow,192.168.1.20,172.217.0.0,53,TCP,5642,,allison.hill
{ZRA0M2RG-LBKXSC43-AQ90},2025-01-17T07:41:12Z,allow,192.168.1.20,172.217.0.0,443,TCP,50254,,allison.hill
{V2O2L50M-H8DIL36Y-09J5},2025-01-17T08:09:57Z,allow,192.168.1.20,8.8.8.8,80,TCP,1361,,allison.hill
{5ET2I8Q0-JXIAHOT1-65KU},2025-01-17T19:39:24Z,allow,192.168.1.20,1.1.1.1,53,TCP,51670,,allison.hill
{OUEQW360-9W7PZOSE-ZKNL},2025-01-17T08:05:15Z,allow,192.168.1.20,172.217.0.0,443,TCP,57624,,allison.hill
{EB0PD27N-SC9HC99Q-C5NC},2025-01-17T17:21:20Z,block,192.168.1.20,251.158.189.253,445,TCP,4985,geo_blocked,allison.hill
{6QDAUTYP-9UU97TMN-PJQ6},2025-01-17T11:26:28Z,block,192.168.1.20,108.120.190.154,3389,TCP,3142,geo_blocked,allison.hill
{48F5NU57-89SK7F97-0DD6},2025-01-17T09:44:24Z,allow,192.168.1.20,172.217.0.0,53,TCP,48049,,allison.hill
{Q5JP5D5H-FVTU3NPV-B0NR},2025-01-17T14:22:25Z,allow,192.168.1.20,172.217.0.0,443,TCP,35664,,allison.hill
{OO5KGXXT-V2KCN21H-KAM2},2025-01-17T11:02:24Z,allow,192.168.1.20,8.8.8.8,443,TCP,8586,,allison.hill
{YTPTIFVW-I36EEZUT-UM96},2025-01-17T15:54:16Z,allow,192.168.1.20,8.8.8.8,53,TCP,59026,,allison.hill
{UUSCUOHC-LSCOJW4T-HEML},2025-01-20T08:49:33Z,allow,192.168.1.20,172.217.0.0,443,TCP,29970,,allison.hill
{R2A290TH-0JLA6W1M-L4G6},2025-01-20T11:09:14Z,allow,192.168.1.20,1.1.1.1,80,TCP,7632,,allison.hill
{6888BPF9-Z442PLRA-1EBE},2025-01-20T14:32:57Z,allow,192.168.1.20,1.1.1.1,53,TCP,41915,,allison.hill
{4CXAZ6ZE-KIMPFCBD-NAFW},2025-01-20T19:17:43Z,allow,192.168.1.20,8.8.8.8,80,TCP,59658,,allison.hill
{PGR3PJKS-XXF9M9TM-QU1C},2025-01-20T16:32:24Z,allow,192.168.1.20,8.8.8.8,53,TCP,22874,,allison.hill
{UNOWFN8A-HGSU4WVQ-AOTP},2025-01-20T18:01:02Z,allow,192.168.1.20,172.217.0.0,443,TCP,37237,,allison.hill
{1BOD22F3-EJJM3KSB-ST4Z},2025-01-20T11:29:53Z,allow,192.168.1.20,172.217.0.0,443,TCP,56719,,allison.hill
{SLN8ERYL-S5FTZ004-36C0},2025-01-20T16:39:27Z,allow,192.168.1.20,8.8.8.8,53,TCP,53152,,allison.hill
{1CVFEA87-1MK7W74M-E1NA},2025-01-20T15:34:53Z,allow,192.168.1.20,1.1.1.1,80,TCP,12340,,allison.hill
{F2JW0L2Y-JGO5ED3X-A1ED},2025-01-20T13:08:52Z,allow,192.168.1.20,8.8.8.8,80,TCP,8770,,allison.hill
{NLX7TPOT-Q4JOHWLU-00HH},2025-01-20T16:43:27Z,allow,192.168.1.20,8.8.8.8,443,TCP,37420,,allison.hill
{II3HPFD7-STH0SB2Y-CJID},2025-01-20T12:19:09Z,allow,192.168.1.20,172.217.0.0,53,TCP,29530,,allison.hill
{0J5F4K3E-7NGSJ6FP-ADWX},2025-01-20T09:36:29Z,allow,192.168.1.20,172.217.0.0,80,TCP,35119,,allison.hill
{M3DFTH9Z-9LP9ELNM-SJWS},2025-01-20T18:10:10Z,allow,192.168.1.20,8.8.8.8,443,TCP,40783,,allison.hill
{TNTPWB18-F81SBPIK-2CQB},2025-01-20T10:32:18Z,allow,192.168.1.20,8.8.8.8,80,TCP,23929,,allison.hill
{83EZ89ZQ-I9I1FC7T-P2EJ},2025-01-20T15:31:29Z,block,192.168.1.20,181.205.6.15,445,TCP,630,,allison.hill
{T871GG2R-E66NVT86-UK8O},2025-01-20T08:28:46Z,allow,192.168.1.20,172.217.0.0,53,TCP,58219,,allison.hill
{ISLOZG4G-AZSVM0O9-Y0DP},2025-01-20T13:36:00Z,allow,192.168.1.20,1.1.1.1,53,TCP,55238,,allison.hill
{3Y3UIR7K-MEZR704O-TWHJ},2025-01-20T19:17:00Z,block,192.168.1.20,210.161.32.46,3389,TCP,3414,,allison.hill
{95JMEQKE-5TYA9S9J-AERW},2025-01-20T14:19:58Z,allow,192.168.1.20,172.217.0.0,80,TCP,40194,,allison.hill
{S066M33T-D3HPC558-7QKQ},2025-01-20T07:04:21Z,allow,192.168.1.20,172.217.0.0,443,TCP,27783,,allison.hill
{UX85MOUR-PXLHWDLU-U4YW},2025-01-20T11:17:38Z,allow,192.168.1.20,8.8.8.8,80,TCP,54389,,allison.hill
{AH8LZG4T-G51BPE5C-N7UK},2025-01-20T09:26:12Z,allow,192.168.1.20,172.217.0.0,53,TCP,37242,,allison.hill
{7D19VCZM-ADE7US57-06F4},2025-01-20T09:28:38Z,allow,192.168.1.20,1.1.1.1,443,TCP,7089,,allison.hill
{ZZJ1K8L6-4NRH8M4V-AP8R},2025-01-20T17:12:30Z,allow,192.168.1.20,8.8.8.8,80,TCP,24077,,allison.hill
{VEK93Q6O-CDOWZHZB-QG6E},2025-01-20T10:40:44Z,allow,192.168.1.20,1.1.1.1,80,TCP,9539,,allison.hill
{FTBSPSEB-ALQHC7JD-VRPR},2025-01-21T13:56:26Z,allow,192.168.1.20,8.8.8.8,443,TCP,9043,,allison.hill
{RX8Q1A4J-LSJT32J1-RYPM},2025-01-21T07:51:16Z,allow,192.168.1.20,172.217.0.0,443,TCP,55007,,allison.hill
{B9B6XVOE-7O34Y9G0-7SCI},2025-01-21T08:50:52Z,allow,192.168.1.20,1.1.1.1,80,TCP,55645,,allison.hill
{S7KXT2C7-JYVUQYZT-TYIC},2025-01-21T16:10:38Z,allow,192.168.1.20,8.8.8.8,80,TCP,10541,,allison.hill
{UNU8E09W-IXAW70G6-8N6F},2025-01-21T08:45:56Z,allow,192.168.1.20,172.217.0.0,53,TCP,20327,,allison.hill
{FB889M63-KYKREJ5G-86BF},2025-01-21T19:00:55Z,allow,192.168.1.20,1.1.1.1,443,TCP,5010,,allison.hill
{9JWTIC97-J70YJHIL-SIHH},2025-01-21T12:37:19Z,allow,192.168.1.20,172.217.0.0,443,TCP,14379,,allison.hill
{EK6CQKO0-K4AZHSM9-1R0Z},2025-01-21T07:10:07Z,allow,192.168.1.20,172.217.0.0,443,TCP,8736,,allison.hill
{RYF1ZP2E-DVFME9PS-YVWN},2025-01-21T18:45:59Z,allow,192.168.1.20,8.8.8.8,443,TCP,38886,,allison.hill
{315RL60K-CPPN32LV-AOM2},2025-01-21T19:45:26Z,allow,192.168.1.20,1.1.1.1,443,TCP,49835,,allison.hill
{8OM1ETMU-570U21ZI-ZKBF},2025-01-21T13:52:42Z,allow,192.168.1.20,172.217.0.0,53,TCP,52844,,allison.hill
{OXPR7IHF-L4A6362F-7UEP},2025-01-21T17:21:45Z,allow,192.168.1.20,8.8.8.8,53,TCP,50239,,allison.hill
{7N4KEVJ1-ZUIZC3UB-DXMV},2025-01-21T19:53:23Z,allow,192.168.1.20,1.1.1.1,80,TCP,53298,,allison.hill
{IRSKW3G4-CAUH2BFH-SMDH},2025-01-21T17:53:48Z,allow,192.168.1.20,1.1.1.1,80,TCP,3585,,allison.hill
{49NESDZT-ML7R0A1K-6KYW},2025-01-21T16:35:13Z,allow,192.168.1.20,8.8.8.8,80,TCP,42003,,allison.hill
{9AHYT54C-A2N8XT4G-BT1K},2025-01-21T14:34:29Z,allow,192.168.1.20,8.8.8.8,443,TCP,16671,,allison.hill
{EFR4CTCS-P759JCKR-X6NP},2025-01-21T08:08:11Z,allow,192.168.1.20,8.8.8.8,53,TCP,2511,,allison.hill
{3SGAJYCB-HOVDLPNE-OMNB},2025-01-21T07:44:07Z,allow,192.168.1.20,8.8.8.8,443,TCP,44673,,allison.hill
{3EVZP5P7-NC8GZ8R1-274P},2025-01-21T15:30:32Z,allow,192.168.1.20,1.1.1.1,53,TCP,26421,,allison.hill
{5R28FTB9-Q3NSGJF4-XF6F},2025-01-21T15:11:52Z,allow,192.168.1.20,8.8.8.8,80,TCP,24208,,allison.hill
{GW6RRJAX-P9J51S0X-6VLS},2025-01-21T08:01:52Z,allow,192.168.1.20,172.217.0.0,80,TCP,23309,,allison.hill
{G3R91ZQ7-6KCT81SG-B0CS},2025-01-21T09:08:16Z,allow,192.168.1.20,172.217.0.0,53,TCP,41004,,allison.hill
{4NVUC99X-BCV6CDHI-9FQ9},2025-01-21T10:57:51Z,allow,192.168.1.20,8.8.8.8,53,TCP,23847,,allison.hill
{HPMK8311-X2H4UI3R-46QN},2025-01-21T15:37:07Z,allow,192.168.1.20,1.1.1.1,53,TCP,56868,,allison.hill
{J2T2ZKQO-W1XT0XC2-MLNB},2025-01-21T07:52:11Z,allow,192.168.1.20,1.1.1.1,53,TCP,45354,,allison.hill
{CHADLN6R-10ICBXCD-GVX0},2025-01-21T19:17:06Z,allow,192.168.1.20,1.1.1.1,53,TCP,16117,,allison.hill
{1ZQA0S96-HI8U3SO5-UWUV},2025-01-21T15:37:10Z,allow,192.168.1.20,172.217.0.0,443,TCP,58327,,allison.hill
{CVNJH6Y8-ECGP0B5T-YA22},2025-01-21T18:41:51Z,allow,192.168.1.20,8.8.8.8,80,TCP,21228,,allison.hill
{3JKFUNIU-Y7YIYJWI-A6LI},2025-01-21T10:57:29Z,allow,192.168.1.20,172.217.0.0,443,TCP,13460,,allison.hill
{BL262S4G-3NSS3DDM-3E67},2025-01-21T08:18:32Z,allow,192.168.1.20,172.217.0.0,53,TCP,38751,,allison.hill
{T7J7G9RH-VRF239IQ-9Z39},2025-01-21T12:25:00Z,allow,192.168.1.20,1.1.1.1,53,TCP,58872,,allison.hill
{4FSYEBDI-JLMV0P5C-8C80},2025-01-21T16:45:20Z,allow,192.168.1.20,1.1.1.1,53,TCP,23775,,allison.hill
{ON0Z6KN5-6V941QL4-SOWT},2025-01-21T08:22:50Z,allow,192.168.1.20,172.217.0.0,53,TCP,34388,,allison.hill
{WNXV2E11-3MTFC0R6-O10B},2025-01-21T19:01:31Z,allow,192.168.1.20,1.1.1.1,443,TCP,41081,,allison.hill
{YP6DX9OX-6O5R08Q5-U6JZ},2025-01-21T18:08:25Z,allow,192.168.1.20,8.8.8.8,53,TCP,38317,,allison.hill
{0LHPDO6M-SS0TSN4Z-TRA3},2025-01-22T08:04:29Z,block,192.168.1.20,87.139.91.165,135,TCP,2464,policy_violation,allison.hill
{Y56G4NIR-11H963LT-7LGB},2025-01-22T09:54:38Z,allow,192.168.1.20,172.217.0.0,53,TCP,26704,,allison.hill
{J83KPCSN-HA4ULAK8-82FV},2025-01-22T15:04:01Z,allow,192.168.1.20,1.1.1.1,53,TCP,15670,,allison.hill
{5AO16KBF-7KFKR907-ROGU},2025-01-22T08:29:59Z,allow,192.168.1.20,1.1.1.1,53,TCP,49117,,allison.hill
{S6K3KAQR-K1MATSA2-8Q8R},2025-01-22T08:01:25Z,allow,192.168.1.20,8.8.8.8,443,TCP,47095,,allison.hill
{2NMY1Q9M-DBI5B2E1-1A0G},2025-01-22T08:25:57Z,allow,192.168.1.20,8.8.8.8,53,TCP,52064,,allison.hill
{7G5C9M2L-8ZXN65U9-D227},2025-01-22T11:28:05Z,allow,192.168.1.20,8.8.8.8,53,TCP,15756,,allison.hill
{LJXKMLQ8-Q0QOBFPW-SLYN},2025-01-22T15:14:30Z,allow,192.168.1.20,172.217.0.0,443,TCP,39204,,allison.hill
{763UEZRC-0XX9HXWW-79XC},2025-01-22T16:31:02Z,allow,192.168.1.20,172.217.0.0,80,TCP,22177,,allison.hill
{8BBK0RF4-8QSXOTV4-PZ2O},2025-01-22T18:53:44Z,allow,192.168.1.20,172.217.0.0,53,TCP,30905,,allison.hill
{9D24BIGK-6FQGOG7I-9B85},2025-01-22T11:03:35Z,allow,192.168.1.20,8.8.8.8,443,TCP,17416,,allison.hill
{GOW9OR04-IVWUT0YY-WW74},2025-01-22T13:31:20Z,allow,192.168.1.20,1.1.1.1,80,TCP,35160,,allison.hill
{OUYGBCM3-WN6ZJO4L-RJ2R},2025-01-22T14:12:25Z,allow,192.168.1.20,8.8.8.8,53,TCP,3905,,allison.hill
{O1HRS54O-DXL2JUT6-K5AM},2025-01-22T16:09:56Z,allow,192.168.1.20,8.8.8.8,80,TCP,41303,,allison.hill
{JKDNSK0D-EKZPN0W0-SO9K},2025-01-22T08:41:12Z,allow,192.168.1.20,1.1.1.1,443,TCP,45492,,allison.hill
{FDN63JQN-R8P37KO6-VZFC},2025-01-22T10:35:47Z,block,192.168.1.20,141.110.214.33,135,TCP,3326,,allison.hill
{YX5A8SHZ-S7VQ1CIJ-CXWN},2025-01-22T15:09:20Z,allow,192.168.1.20,1.1.1.1,53,TCP,19836,,allison.hill
{7ZEWQ1HT-QF0B410Y-QHUJ},2025-01-22T10:46:52Z,allow,192.168.1.20,172.217.0.0,80,TCP,7247,,allison.hill
{GBZU0OG4-0L8S3OHZ-CWWU},2025-01-22T18:15:14Z,allow,192.168.1.20,172.217.0.0,80,TCP,16507,,allison.hill
{Q2UBEDPN-DMNI8F2Q-3K26},2025-01-22T15:40:40Z,allow,192.168.1.20,1.1.1.1,80,TCP,14892,,allison.hill
{RAE3YQBC-GW0DEJWG-IRJL},2025-01-22T10:56:27Z,allow,192.168.1.20,172.217.0.0,80,TCP,53233,,allison.hill
{ZO3BW22M-WGMCLM20-EL6S},2025-01-22T19:43:46Z,allow,192.168.1.20,172.217.0.0,443,TCP,20916,,allison.hill
{G2H0D1KM-HUIBHIHA-Y72W},2025-01-22T19:28:10Z,allow,192.168.1.20,8.8.8.8,443,TCP,29779,,allison.hill
{N162Y6SB-BIYLASL5-BSGB},2025-01-23T08:52:58Z,allow,192.168.1.20,1.1.1.1,80,TCP,39563,,allison.hill
{7ESL08AK-5H67F8HX-XXFT},2025-01-23T18:42:33Z,allow,192.168.1.20,172.217.0.0,80,TCP,43251,,allison.hill
{TU2D4LNF-198CWVG6-EM3Y},2025-01-23T15:49:44Z,allow,192.168.1.20,8.8.8.8,443,TCP,47545,,allison.hill
{XVMLJC15-0GOG0TSN-82XU},2025-01-23T08:48:55Z,allow,192.168.1.20,1.1.1.1,80,TCP,39531,,allison.hill
{OI36IWBP-XIAOK8Z6-0JFX},2025-01-23T17:52:33Z,block,192.168.1.20,128.49.141.79,22,TCP,3459,,allison.hill
{5D4HLLTH-S8EYS0V5-GV6F},2025-01-23T11:18:49Z,allow,192.168.1.20,172.217.0.0,80,TCP,8578,,allison.hill
{PS0Q4YMN-IHDZNY62-OYG5},2025-01-23T17:11:50Z,allow,192.168.1.20,1.1.1.1,80,TCP,49818,,allison.hill
{4CL1A7RM-RAHGQUUS-QHGM},2025-01-23T14:46:48Z,allow,192.168.1.20,8.8.8.8,80,TCP,59043,,allison.hill
{MCM19RZ2-IIZ2EOZO-8K9J},2025-01-23T13:44:32Z,block,192.168.1.20,100.17.236.124,22,TCP,2348,,allison.hill
{VHXK54DT-Z8KGRQUA-CLVV},2025-01-23T17:38:00Z,allow,192.168.1.20,8.8.8.8,53,TCP,17299,,allison.hill
{CR71J37S-D32DPWD0-M1RB},2025-01-23T09:12:28Z,allow,192.168.1.20,172.217.0.0,443,TCP,6464,,allison.hill
{0EZ7CPJE-WGE8DCJZ-87O6},2025-01-23T09:09:44Z,block,192.168.1.20,177.235.73.122,22,TCP,4718,geo_blocked,allison.hill
