id,timestamp,src_ip,dst_ip,dst_port,protocol,bytes_in,bytes_out,alert,user
{BEQF65T2-8SHDPK3D-3U1L},2025-01-15T08:57:30Z,192.168.1.20,8.8.4.4,443,HTTPS,53703,24531,,allison.hill
{PMD9T41H-JP2V7NXC-6JC0},2025-01-16T13:12:37Z,192.168.1.20,1.1.1.1,443,HTTPS,56264,23364,,allison.hill
{ESRTIUNH-LHGVFARW-B48G},2025-01-16T12:17:21Z,192.168.1.20,142.250.0.0,443,HTTPS,38140,49752,,allison.hill
{E14RBLRY-575G8196-9XTJ},2025-01-16T19:29:44Z,192.168.1.20,8.8.4.4,443,HTTPS,59810,35598,,allison.hill
{U0VC6ASC-QER7OUYK-DY7K},2025-01-16T11:52:36Z,192.168.1.20,1.1.1.1,443,HTTPS,79586,4221,,allison.hill
{VYM4L595-WQZL7KDC-6PZC},2025-01-16T11:56:28Z,192.168.1.20,8.8.8.8,443,HTTPS,81603,21112,,allison.hill
{OWXE5EMF-LTY6EB8P-F499},2025-01-16T11:23:45Z,192.168.1.20,1.0.0.1,443,HTTPS,65645,48881,,allison.hill
{9MPGH3HQ-5IVK4V5D-N3GE},2025-01-16T09:20:34Z,192.168.1.20,172.217.0.0,443,HTTPS,92742,23842,,allison.hill
{YSXPT8TU-WQ1M0BF2-5SHJ},2025-01-16T13:38:27Z,192.168.1.20,1.1.1.1,443,HTTPS,35901,7555,,allison.hill
{JJ2OCEU9-PBCJSFGG-NO1L},2025-01-16T11:43:36Z,192.168.1.20,8.8.8.8,443,HTTPS,36880,33743,,allison.hill
{TW0UAU6U-01TRWSLR-I40E},2025-01-16T14:54:17Z,192.168.1.20,142.250.0.0,443,HTTPS,76791,21728,,allison.hill
{MPRGCCJ4-60OTXOSE-R9ZG},2025-01-16T08:13:22Z,192.168.1.20,8.8.4.4,443,HTTPS,30218,26399,,allison.hill
{79Q015FO-QANHPS9V-P0EN},2025-01-16T10:49:07Z,192.168.1.20,172.217.0.0,443,HTTPS,70937,43576,,allison.hill
{V0Y1SL9G-G2K7SJFE-DKZ8},2025-01-16T13:30:07Z,192.168.1.20,1.1.1.1,443,HTTPS,87991,12685,,allison.hill
{XAR5UKGK-F1EV3DX4-J9JK},2025-01-16T17:56:06Z,192.168.1.20,1.1.1.1,443,HTTPS,88833,18756,,allison.hill
{BNOXSOL4-98N7BTWO-3VS9},2025-01-16T15:01:25Z,192.168.1.20,1.0.0.1,443,HTTPS,15285,21657,,allison.hill
{OJIWYY5G-45BMN5YX-2T9A},2025-01-16T11:49:12Z,192.168.1.20,8.8.4.4,443,HTTPS,106497,49318,,allison.hill
{MIEOUSRS-14A546CW-BB7U},2025-01-16T09:40:32Z,192.168.1.20,8.8.8.8,443,HTTPS,20511,35388,,allison.hill
{SLZAHPR3-KR2HCE1X-6K7Y},2025-01-16T08:11:49Z,192.168.1.20,142.250.0.0,443,HTTPS,62979,9094,,allison.hill
{WV4PBKC6-XVV8WASP-AZW5},2025-01-16T09:06:40Z,192.168.1.20,1.0.0.1,443,HTTPS,19540,35502,,allison.hill
{6LEVVHZT-3R0NNTNK-NR0L},2025-01-16T16:38:19Z,192.168.1.20,8.8.4.4,443,HTTPS,88779,32901,,allison.hill
{IBEGJKDP-NIW6XVSF-J8MN},2025-01-17T15:20:26Z,192.168.1.20,8.8.4.4,443,HTTPS,50457,59068,,allison.hill
{G2OHV1G2-GQZHE9YA-C8T0},2025-01-17T08:38:18Z,192.168.1.20,8.8.4.4,443,HTTPS,59083,36826,,allison.hill
{CRJUKBR9-SJAQF7RS-KBPX},2025-01-17T16:19:02Z,192.168.1.20,1.1.1.1,443,HTTPS,90736,45092,,allison.hill
{OK5OGM2A-FED2PVFB-XJR9},2025-01-17T09:07:51Z,192.168.1.20,8.8.8.8,443,HTTPS,13455,49865,,allison.hill
{2EMMYQ9A-QXZU8UYT-BCD6},2025-01-17T10:48:23Z,192.168.1.20,8.8.4.4,443,HTTPS,78214,13675,,allison.hill
{V3S1EBV7-JOHRTHHM-9TGB},2025-01-17T17:25:32Z,192.168.1.20,8.8.4.4,443,HTTPS,95273,29159,,allison.hill
{GH1ZPA3J-O079CFKL-7U1O},2025-01-17T15:58:34Z,192.168.1.20,172.217.0.0,443,HTTPS,117302,53388,,allison.hill
{YO5FRO1W-2R342TFB-FMOJ},2025-01-17T10:09:12Z,192.168.1.20,1.0.0.1,443,HTTPS,90133,27054,,allison.hill
{SWP8ZRJJ-M43X89L2-KBNC},2025-01-17T17:42:20Z,192.168.1.20,8.8.8.8,443,HTTPS,47656,7798,,allison.hill
{QSAYN2PF-TJ82QDB6-3DYP},2025-01-17T12:37:12Z,192.168.1.20,172.217.0.0,443,HTTPS,56878,30479,,allison.hill
{8L70I9T8-LSYUGC2V-FUUH},2025-01-17T11:17:53Z,192.168.1.20,8.8.8.8,443,HTTPS,57219,26386,,allison.hill
{9RY97Y95-4GYPNLXW-RHEU},2025-01-17T18:28:32Z,192.168.1.20,8.8.8.8,443,HTTPS,25983,14119,,allison.hill
{KV9U8KO3-172J68IY-R81A},2025-01-17T10:35:37Z,192.168.1.20,8.8.8.8,443,HTTPS,42482,22182,,allison.hill
{TV2IRM92-FGVCEOO0-5ZQF},2025-01-17T07:36:21Z,192.168.1.20,8.8.4.4,443,HTTPS,49237,22452,,allison.hill
{E5UJ15R3-ZAP2GNER-4Z8Y},2025-01-17T11:21:37Z,192.168.1.20,1.1.1.1,443,HTTPS,78787,32325,,allison.hill
{F7ZQFK08-AMYX3X60-8TP5},2025-01-17T07:31:20Z,192.168.1.20,142.250.0.0,443,HTTPS,73281,13208,,allison.hill
{XZ3QUTOH-PVBHH3DP-NYLH},2025-01-17T17:29:12Z,192.168.1.20,8.8.4.4,443,HTTPS,24485,14947,,allison.hill
{ZQZ7MHQO-79IATK7T-A9LL},2025-01-17T14:13:31Z,192.168.1.20,1.0.0.1,443,HTTPS,93568,20875,,allison.hill
{S4O5EF1Y-D9OWA5T7-6V4R},2025-01-17T09:49:27Z,192.168.1.20,172.217.0.0,443,HTTPS,14839,16292,,allison.hill
{B1VVMYVM-IE3ZL4HE-Z2Z3},2025-01-17T16:48:41Z,192.168.1.20,142.250.0.0,443,HTTPS,82544,23029,,allison.hill
{SBZJAVIF-KMP5DMDL-IOJM},2025-01-17T15:42:11Z,192.168.1.20,1.1.1.1,443,HTTPS,63039,18414,,allison.hill
{7FSBGIBJ-Q7WPGXIU-TIV2},2025-01-17T17:16:57Z,192.168.1.20,1.1.1.1,443,HTTPS,72736,20762,,allison.hill
{OZ67WNVP-J2LDHA17-F7Z3},2025-01-17T19:14:49Z,192.168.1.20,8.8.4.4,443,HTTPS,55178,50431,,allison.hill
{58XFA12P-V2HOKX79-3GS9},2025-01-17T09:35:36Z,192.168.1.20,1.1.1.1,443,HTTPS,32546,35502,,allison.hill
{P767FW3G-JUH1R0K9-FQ5N},2025-01-17T10:30:27Z,192.168.1.20,1.1.1.1,443,HTTPS,81388,18995,,allison.hill
{KH98M0AR-BB2Z6HQN-KP5L},2025-01-17T15:33:27Z,192.168.1.20,8.8.4.4,443,HTTPS,6593,25766,,allison.hill
{MPR7WCEK-GNKUH8UT-ZNN5},2025-01-20T07:17:41Z,192.168.1.20,8.8.8.8,443,HTTPS,41112,19496,,allison.hill
{S5JQ0UC8-SUI6AUAD-8L5F},2025-01-20T19:33:34Z,192.168.1.20,8.8.8.8,443,HTTPS,58976,9982,,allison.hill
{VKO8S0AJ-3VY9K0UG-41M2},2025-01-20T16:29:37Z,192.168.1.20,8.8.4.4,443,HTTPS,69608,12358,,allison.hill
{LHMDCWI2-UXFXJPVD-87XN},2025-01-20T17:13:10Z,192.168.1.20,142.250.0.0,443,HTTPS,42361,25056,,allison.hill
{Z7HFXFEW-B8DY8D38-5114},2025-01-20T12:19:14Z,192.168.1.20,1.1.1.1,443,HTTPS,35281,6225,,allison.hill
{G4U5OMG4-OVACN37W-FMGG},2025-01-20T12:54:49Z,192.168.1.20,172.217.0.0,443,HTTPS,29034,2477,,allison.hill
{343P8BI2-KTSXO483-8CP8},2025-01-20T15:44:45Z,192.168.1.20,8.8.4.4,443,HTTPS,68134,25674,,allison.hill
{886FRFH9-BLEO3P0A-WB4T},2025-01-20T12:27:46Z,192.168.1.20,142.250.0.0,443,HTTPS,88178,33738,,allison.hill
{YC9LQVFW-SMPQ5131-886V},2025-01-20T13:00:54Z,192.168.1.20,8.8.4.4,443,HTTPS,60833,11326,,allison.hill
{YXIGJN0Y-QQCZRISV-BAUC},2025-01-20T12:13:41Z,192.168.1.20,8.8.4.4,443,HTTPS,77570,8654,,allison.hill
{KN3JFFIJ-WR54O77T-HOE1},2025-01-20T19:33:16Z,192.168.1.20,142.250.0.0,443,HTTPS,19039,38466,,allison.hill
{W86COABU-QD7VGOL1-U808},2025-01-20T11:29:24Z,192.168.1.20,1.0.0.1,443,HTTPS,37449,20478,,allison.hill
{TV2J71CS-3YF81KIZ-Q9TG},2025-01-20T07:37:38Z,192.168.1.20,8.8.8.8,443,HTTPS,96254,9848,,allison.hill
{UU2O03S2-EFU71ZFN-E3ET},2025-01-20T17:22:33Z,192.168.1.20,8.8.4.4,443,HTTPS,50963,2539,,allison.hill
{396PKYW1-LDL74NW0-PHSO},2025-01-20T16:08:53Z,192.168.1.20,8.8.4.4,443,HTTPS,43466,28031,,allison.hill
{NM2UTHUB-4E8HWJ0U-DDMZ},2025-01-20T12:08:33Z,192.168.1.20,142.250.0.0,443,HTTPS,22673,11810,,allison.hill
{XTJE1NQ2-22RVOK3Y-9XR8},2025-01-20T16:04:31Z,192.168.1.20,1.1.1.1,443,HTTPS,8277,43560,,allison.hill
{3LFJXU18-GNTSKPME-7Q3N},2025-01-21T14:33:13Z,192.168.1.20,1.0.0.1,443,HTTPS,97385,10655,,allison.hill
{NKAAPHR2-H7WGKF4F-S7TF},2025-01-21T07:58:34Z,192.168.1.20,1.1.1.1,443,HTTPS,32881,39313,,allison.hill
{W8F1VKWS-95J9C54L-2RNK},2025-01-21T09:04:58Z,192.168.1.20,142.250.0.0,443,HTTPS,83460,6123,,allison.hill
{R2CCUX14-SLSM6IPH-KHYQ},2025-01-21T16:59:54Z,192.168.1.20,1.0.0.1,443,HTTPS,27864,37218,,allison.hill
{NKHHI1U8-NW3XPXAM-6CT4},2025-01-21T09:21:42Z,192.168.1.20,172.217.0.0,443,HTTPS,101639,26395,,allison.hill
{23QB92QO-39TA3VFI-E7ZQ},2025-01-21T17:56:11Z,192.168.1.20,8.8.4.4,443,HTTPS,22230,6437,,allison.hill
{T1TEDQSG-VYVB0DZ8-HZN5},2025-01-21T19:57:15Z,192.168.1.20,172.217.0.0,443,HTTPS,65609,10997,,allison.hill
{6L50XXYY-MXTB1FYV-TP54},2025-01-21T17:22:32Z,192.168.1.20,1.1.1.1,443,HTTPS,57806,49378,,allison.hill
{55SITFN4-LZM6ZPTH-JYEA},2025-01-21T09:34:40Z,192.168.1.20,8.8.4.4,443,HTTPS,21172,15586,,allison.hill
{Y324QUWP-OXN4SOOS-V64Z},2025-01-21T14:42:50Z,192.168.1.20,142.250.0.0,443,HTTPS,46341,21251,,allison.hill
{7MROTSAX-1YH8O70P-J6DM},2025-01-21T16:05:52Z,192.168.1.20,1.0.0.1,443,HTTPS,30164,6903,,allison.hill
{HD0H1L3L-18VV7T8N-8FP5},2025-01-21T19:52:24Z,192.168.1.20,172.217.0.0,443,HTTPS,8506,33636,,allison.hill
{LF94M4YY-T89FZ40S-X1OI},2025-01-21T10:01:56Z,192.168.1.20,142.250.0.0,443,HTTPS,87673,14187,,allison.hill
{I859TOS1-T22A4JXQ-HTS0},2025-01-21T10:50:53Z,192.168.1.20,8.8.8.8,443,HTTPS,36269,32356,,allison.hill
{90H0E82W-MAV7Y8FN-R75W},2025-01-21T11:17:19Z,192.168.1.20,1.0.0.1,443,HTTPS,39326,13258,,allison.hill
{MVUL1GFH-ZURLKJRX-EL3Z},2025-01-21T19:00:15Z,192.168.1.20,172.217.0.0,443,HTTPS,45228,40754,,allison.hill
{5PY2RBAK-S7RIVKUP-5339},2025-01-21T13:59:57Z,192.168.1.20,8.8.4.4,443,HTTPS,18906,36179,,allison.hill
{SLFPF6J4-T0S8Y5ZS-UY19},2025-01-22T11:38:58Z,192.168.1.20,142.250.0.0,443,HTTPS,66567,14561,,allison.hill
{KXF4DFEJ-MH20GF17-M120},2025-01-22T08:17:05Z,192.168.1.20,172.217.0.0,443,HTTPS,64489,37851,,allison.hill
{OZ0TQ4WB-LLEPXMLL-Y5I3},2025-01-22T12:06:28Z,192.168.1.20,1.0.0.1,443,HTTPS,76724,47526,,allison.hill
{I2B6J3QP-GA0SOCEL-GCZ7},2025-01-22T15:08:20Z,192.168.1.20,8.8.8.8,443,HTTPS,82056,15317,,allison.hill
{J8E9LFXL-PG6H74YX-GUSO},2025-01-22T09:12:28Z,192.168.1.20,8.8.8.8,443,HTTPS,86828,9647,,allison.hill
{QTJYV0UK-0GHF95Z0-OJGU},2025-01-22T18:30:51Z,192.168.1.20,172.217.0.0,443,HTTPS,8688,25952,,allison.hill
{MN63NFF4-2P9SKRUB-U52B},2025-01-22T17:55:05Z,192.168.1.20,1.1.1.1,443,HTTPS,75404,46635,,allison.hill
{YO5MSEFV-D0Y4CO5A-1T02},2025-01-22T16:46:48Z,192.168.1.20,1.0.0.1,443,HTTPS,23518,32508,,allison.hill
{CISUWCCM-C3NNGOER-T3GE},2025-01-22T09:28:54Z,192.168.1.20,1.1.1.1,443,HTTPS,77215,5462,,allison.hill
{H1TW1AHP-OREFF6VU-84Y5},2025-01-22T07:51:43Z,192.168.1.20,142.250.0.0,443,HTTPS,15104,35444,,allison.hill
{NNH3GSFQ-01PUG486-S1OM},2025-01-22T12:27:24Z,192.168.1.20,1.1.1.1,443,HTTPS,78804,7017,,allison.hill
{18A5O8NW-YMNDTN2W-RO10},2025-01-22T16:27:52Z,192.168.1.20,1.0.0.1,443,HTTPS,39231,25993,,allison.hill
{8DKR5QM0-PZR628C1-7VMK},2025-01-22T15:41:34Z,192.168.1.20,1.1.1.1,443,HTTPS,61827,24156,,allison.hill
{00I6GC9Q-29S8IKKL-2SGE},2025-01-22T11:43:16Z,192.168.1.20,1.0.0.1,443,HTTPS,70252,40434,,allison.hill
{41HMITQ9-R880PXXO-3Y8I},2025-01-22T19:24:54Z,192.168.1.20,1.0.0.1,443,HTTPS,74117,5796,,allison.hill
{U8L4NM54-YCPGZ4K2-XJL2},2025-01-22T07:52:31Z,192.168.1.20,172.217.0.0,443,HTTPS,46534,42881,,allison.hill
{4OMZBR07-USR3MITC-5S5E},2025-01-22T09:42:19Z,192.168.1.20,8.8.8.8,443,HTTPS,80953,46671,,allison.hill
{WJ4QX8P9-GSQYHTGY-T9UI},2025-01-22T11:14:16Z,192.168.1.20,1.1.1.1,443,HTTPS,22377,17744,,allison.hill
{DOGT3QGZ-7ZX198NA-FUUA},2025-01-22T11:47:21Z,192.168.1.20,172.217.0.0,443,HTTPS,24862,33901,,allison.hill
{K6SUIYX4-HH85DYGP-FLC5},2025-01-22T18:38:58Z,192.168.1.20,1.1.1.1,443,HTTPS,92255,37156,,allison.hill
{47DOAJEC-DJ95629O-CYW1},2025-01-22T11:40:03Z,192.168.1.20,8.8.4.4,443,HTTPS,53313,31787,,allison.hill
{19YW2C98-M8AEQYP1-4DIA},2025-01-22T09:13:52Z,192.168.1.20,172.217.0.0,443,HTTPS,76077,15411,,allison.hill
{QOUNXV44-XFFQTKF7-SRY2},2025-01-22T13:12:57Z,192.168.1.20,1.0.0.1,443,HTTPS,91923,10592,,allison.hill
{WTXHLC4N-IBHK0SBA-BY5D},2025-01-22T14:55:57Z,192.168.1.20,8.8.4.4,443,HTTPS,91624,3342,,allison.hill
{UUDCOHZB-0WQC1CHF-BDG7},2025-01-22T15:14:20Z,192.168.1.20,142.250.0.0,443,HTTPS,70931,38321,,allison.hill
{HUUINYOT-WC1U0T7O-UD92},2025-01-22T19:27:22Z,192.168.1.20,172.217.0.0,443,HTTPS,33051,14379,,allison.hill
{YJ6KHGW1-CCZKN4RG-PV0E},2025-01-23T17:24:39Z,192.168.1.20,8.8.4.4,443,HTTPS,94877,26698,,allison.hill
{YH94XJ6S-QSSY2HET-QVIQ},2025-01-23T12:43:55Z,192.168.1.20,142.250.0.0,443,HTTPS,89678,19644,,allison.hill
{4BHJZ91N-9WPZHX2M-GJH9},2025-01-23T17:26:47Z,192.168.1.20,172.217.0.0,443,HTTPS,77869,46410,,allison.hill
{J41QQRQF-WGT5OPDQ-GNXH},2025-01-23T08:51:47Z,192.168.1.20,8.8.4.4,443,HTTPS,91019,29708,,allison.hill
{RSX3ZAJK-7C4VBD60-XCDI},2025-01-23T12:31:04Z,192.168.1.20,1.0.0.1,443,HTTPS,89623,11375,,allison.hill
{5W96Z9SS-MCSWPQ8L-GT5C},2025-01-23T16:51:14Z,192.168.1.20,142.250.0.0,443,HTTPS,88783,16718,,allison.hill
{SATLIQVQ-S0YDMHKW-AZKC},2025-01-23T09:35:38Z,192.168.1.20,142.250.0.0,443,HTTPS,9418,13589,,allison.hill
{EOTNBECW-CHKBOJHW-QO1O},2025-01-23T10:25:06Z,192.168.1.20,172.217.0.0,443,HTTPS,57683,49275,,allison.hill
{2DZIAOTC-YMR4NNVD-SO8H},2025-01-23T12:47:21Z,192.168.1.20,142.250.0.0,443,HTTPS,36834,39612,,allison.hill
{TDQR4CJS-3QUEOE69-MHMY},2025-01-23T16:43:16Z,192.168.1.20,172.217.0.0,443,HTTPS,47008,43790,,allison.hill
{KZSXCU53-536B5BGW-ZZLP},2025-01-23T08:04:44Z,192.168.1.20,1.1.1.1,443,HTTPS,42081,22736,,allison.hill
{BCG6KN28-2H7DTO0Y-2TYN},2025-01-23T16:38:32Z,192.168.1.20,1.1.1.1,443,HTTPS,58921,13554,,allison.hill
{MYGXLR68-IQWKIMHI-8C4L},2025-01-23T18:08:39Z,192.168.1.20,142.250.0.0,443,HTTPS,93893,35812,,allison.hill
{KBM6GNQ6-ZFSS20HS-6WA9},2025-01-23T11:07:33Z,192.168.1.20,172.217.0.0,443,HTTPS,14677,16552,,allison.hill
{ABJ23GFW-MHSYXX1T-3MQM},2025-01-23T12:00:42Z,192.168.1.20,1.0.0.1,443,HTTPS,80244,47384,,allison.hill
{G1H7C47C-FCW8YCX7-4X77},2025-01-23T07:01:12Z,192.168.1.20,1.0.0.1,443,HTTPS,66913,35908,,allison.hill
{CU7CDCXQ-P5WVDSVU-0XCX},2025-01-23T09:39:59Z,192.168.1.20,1.0.0.1,443,HTTPS,47794,14560,,allison.hill
{9WP18LVB-K52ZBVIF-CEAX},2025-01-23T15:09:13Z,192.168.1.20,8.8.4.4,443,HTTPS,39296,30201,,allison.hill
{5XMHU0OX-812020RI-AGZD},2025-01-23T08:35:45Z,192.168.1.20,8.8.4.4,443,HTTPS,80239,32836,,allison.hill
{E87A6JAI-BLTNHWRC-LL6P},2025-01-23T15:42:43Z,192.168.1.20,8.8.4.4,443,HTTPS,54789,44471,,allison.hill
{12DPPQGD-GKTXF8DT-D458},2025-01-23T07:39:55Z,192.168.1.20,142.250.0.0,443,HTTPS,53474,41252,,allison.hill
{PNBURJQZ-0NEYZ2LF-42IB},2025-01-23T19:31:15Z,192.168.1.20,172.217.0.0,443,HTTPS,67836,46182,,allison.hill
{TZB1DTAZ-8A8CZRBL-Y8OO},2025-01-23T09:21:07Z,192.168.1.20,1.1.1.1,443,HTTPS,7023,18238,,allison.hill
{XXZ1ICLE-GTIU5Y99-2K6N},2025-01-23T12:59:48Z,192.168.1.20,1.1.1.1,443,HTTPS,54330,3884,,allison.hill
{W41YJWGF-NOD6IPCX-6UNU},2025-01-23T11:23:04Z,192.168.1.20,142.250.0.0,443,HTTPS,92125,2739,,allison.hill
{36N1FO3X-OQU9XT8E-YF1Z},2025-01-23T18:35:07Z,192.168.1.20,8.8.8.8,443,HTTPS,32050,49393,,allison.hill
{RF5G4JGE-8NBATNV7-WBIV},2025-01-23T13:04:32Z,192.168.1.20,1.1.1.1,443,HTTPS,66354,47403,,allison.hill
{C475845C-22VH4VUT-H7I6},2025-01-23T14:43:19Z,192.168.1.20,1.0.0.1,443,HTTPS,52728,5481,,allison.hill
{WIIX89JI-YL40YTZQ-MI3A},2025-01-24T07:35:22Z,192.168.1.20,142.250.0.0,443,HTTPS,40189,23504,,allison.hill
{JNTVUXYF-RZB2FAOK-AY8G},2025-01-24T09:54:50Z,192.168.1.20,142.250.0.0,443,HTTPS,93198,25954,,allison.hill
{9O7WYCCQ-HXYK0YCR-7Q1N},2025-01-24T16:01:28Z,192.168.1.20,172.217.0.0,443,HTTPS,96602,29384,,allison.hill
{R80VK5Z0-NFAKI564-8FWX},2025-01-24T19:13:51Z,192.168.1.20,142.250.0.0,443,HTTPS,97220,10994,,allison.hill
{0V3TZ1XY-M1J15R9N-WCI1},2025-01-24T07:10:26Z,192.168.1.20,142.250.0.0,443,HTTPS,73734,44921,,allison.hill
{I05QLJ4L-GRFJ8CGA-KHA9},2025-01-24T09:08:11Z,192.168.1.20,172.217.0.0,443,HTTPS,17860,44277,,allison.hill
{X97BFA66-KCD6FQQ3-O1UF},2025-01-24T09:43:13Z,192.168.1.20,8.8.4.4,443,HTTPS,8290,8497,,allison.hill
{154FPCX9-I3K7TZPD-7SNH},2025-01-24T12:47:41Z,192.168.1.20,1.0.0.1,443,HTTPS,48557,47553,,allison.hill
{8TCIVUJW-QVACYPG8-1I2B},2025-01-24T12:54:19Z,192.168.1.20,8.8.4.4,443,HTTPS,14522,18674,,allison.hill
{J03FSTKL-OUMY82WZ-ZEVQ},2025-01-24T17:15:23Z,192.168.1.20,172.217.0.0,443,HTTPS,73803,20858,,allison.hill
{2P7H9DWT-ZC4CBU5D-2PJY},2025-01-24T14:09:42Z,192.168.1.20,1.0.0.1,443,HTTPS,69556,20156,,allison.hill
{3TPTQEVZ-9BM3D27N-TTB9},2025-01-24T08:50:58Z,192.168.1.20,1.1.1.1,443,HTTPS,11550,4580,,allison.hill
{5XALFSLR-0PNMTEFW-WDTD},2025-01-24T07:42:01Z,192.168.1.20,8.8.4.4,443,HTTPS,99423,31904,,allison.hill
{OLQETYC0-20Q75RX3-1OXA},2025-01-24T17:19:22Z,192.168.1.20,142.250.0.0,443,HTTPS,40773,12385,,allison.hill
{QUGCIJAP-S1MQTUZV-VO82},2025-01-24T16:59:15Z,192.168.1.20,1.0.0.1,443,HTTPS,57211,13336,,allison.hill
{7EJMK46R-6DO9G5A3-A8GA},2025-01-24T17:45:59Z,192.168.1.20,8.8.8.8,443,HTTPS,72003,24101,,allison.hill
{R0JA9GTL-ERVAKG4L-1JQA},2025-01-24T14:51:11Z,192.168.1.20,1.1.1.1,443,HTTPS,63927,25691,,allison.hill
{IG1Y5BIL-TSJI73JS-ZOKT},2025-01-24T09:35:51Z,192.168.1.20,8.8.8.8,443,HTTPS,98605,11887,,allison.hill
{DRGOVCIG-UC0TW6A2-8W6K},2025-01-24T18:30:20Z,192.168.1.20,172.217.0.0,443,HTTPS,61368,16147,,allison.hill
{BG9V6O5F-B2RHFWAQ-ZI3R},2025-01-24T16:57:48Z,192.168.1.20,1.1.1.1,443,HTTPS,38734,33139,,allison.hill
{KU5AGRTK-A70NJ8XM-XCXU},2025-01-24T07:15:15Z,192.168.1.20,142.250.0.0,443,HTTPS,9122,5370,,allison.hill
{IDT7LISE-RO9YB4MR-VWZD},2025-01-24T15:21:24Z,192.168.1.20,142.250.0.0,443,HTTPS,75999,3233,,allison.hill
{XHF8KHT7-P5Q06MGM-NF62},2025-01-24T10:05:14Z,192.168.1.20,1.1.1.1,443,HTTPS,76045,49411,,allison.hill
{W0ZT6M2G-PASJY9QK-GRJZ},2025-01-24T08:18:51Z,192.168.1.20,8.8.4.4,443,HTTPS,59871,12950,,allison.hill
{ONWR2BX0-BP5P8RQO-PNL1},2025-01-24T10:54:09Z,192.168.1.20,8.8.4.4,443,HTTPS,66074,47467,,allison.hill
{XCZM7BQR-LQQ87ZIE-GYHG},2025-01-24T19:28:21Z,192.168.1.20,8.8.4.4,443,HTTPS,46443,2963,,allison.hill
{5KINZS7D-LKR95OGD-5DU9},2025-01-27T13:29:15Z,192.168.1.20,172.217.0.0,443,HTTPS,69659,35065,,allison.hill
{BGFG869V-48SBAWYZ-ZTU0},2025-01-27T07:12:17Z,192.168.1.20,1.0.0.1,443,HTTPS,75853,24912,,allison.hill
