id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content,size,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,is_sensitive_folder,is_shared_folder,size_mb,is_large_file,activity_encoded
{NC210DXO-AHHSZSLB-7JL6},2025-01-20 12:23:19,U0000,PC-5000,/hr/benefits/simple.docx,File Write,0,False,Son today major event magazine home protect something right subject try wonder move trade option.,55117,12,0,20,0,1,0,0,0,0.05256366729736328,0,1
{OQ3XW4WY-RW3HC2F8-J7JV},2025-01-20 12:54:41,U0000,PC-5000,/hr/onboarding/recognize.pdf,File Open,0,False,Base investment term consider employee force lawyer.,96916,12,0,20,0,1,0,0,0,0.09242630004882812,0,0
{J80CSB57-VVJ0N2H7-DBWU},2025-01-20 17:52:20,U0000,PC-5000,/hr/policies/green.txt,File Copy,0,False,Everything week instead strong like see appear weight difference attention whatever American.,5537,17,0,20,0,1,0,0,0,0.005280494689941406,0,2
{JQAVD2XN-7DNHU0FI-8OL9},2025-01-20 09:27:49,U0000,PC-5000,/shared/resources/allow.csv,File Copy,0,False,Current after charge call prove nor design record short cold.,66741,9,0,20,0,1,0,0,1,0.06364917755126953,0,2
{95VZ90F1-6H5P51EH-7XGN},2025-01-20 09:55:35,U0000,PC-5000,/company/announcements/policy.pptx,File Open,0,False,Sing clearly find official up office traditional heart.,32384,9,0,20,0,1,0,0,1,0.0308837890625,0,0
{ZPR3DF85-I8ZUIHH6-IPZT},2025-01-20 13:31:36,U0000,PC-5000,/company/announcements/year.pdf,File Copy,0,False,Away real physical big significant sure outside building worker site.,33072,13,0,20,0,1,0,0,1,0.0315399169921875,0,2
{1Z9YUD2X-D3TTVGTE-KT3D},2025-01-20 14:46:08,U0000,PC-5000,/shared/resources/hand.pptx,File Open,0,False,Into have media game support state black whether player stock religious itself safe whole establish.,167115,14,0,20,0,1,0,0,1,0.15937328338623047,0,0
{K586XPI8-F68J4H9U-HSCM},2025-01-21 13:08:38,U0000,PC-5000,/shared/documents/system.txt,File Copy,0,False,Simple let stay or focus early various everything late seek now property from management foot.,114074,13,1,21,0,1,0,0,1,0.10878944396972656,0,2
{KMAJKDPH-JAQK0NL1-HUWJ},2025-01-21 08:18:21,U0000,PC-5000,/company/announcements/method.csv,File Copy,0,False,Great election evidence other they new might course drop image.,132176,8,1,21,0,1,0,0,1,0.1260528564453125,0,2
{UVLATZQL-3RZ20YAP-G2AZ},2025-01-21 11:42:34,U0000,PC-5000,/shared/templates/one.pptx,File Open,0,False,Real position make society behavior develop reality fill ok list.,99096,11,1,21,0,1,0,0,1,0.09450531005859375,0,0
{WK7FSVEE-GS19ILPE-B94S},2025-01-21 09:11:01,U0000,PC-5000,/company/announcements/nice.pdf,File Write,0,False,International second former reflect even edge building court build movie several continue.,33744,9,1,21,0,1,0,0,1,0.0321807861328125,0,1
{6GB3MWAZ-V1HMJUH0-R2E4},2025-01-21 07:46:30,U0000,PC-5000,/hr/policies/direction.txt,File Copy,0,False,Everybody operation set others wonder strategy fast guess few remain call animal approach factor.,132474,7,1,21,0,1,0,0,0,0.12633705139160156,0,2
{GV7ENQ9U-SSLW3Y7G-2I4K},2025-01-21 16:00:10,U0000,PC-5000,/hr/policies/yet.doc,File Open,0,False,Point sell bill activity expect long future whole education.,177309,16,1,21,0,1,0,0,0,0.16909503936767578,0,0
{I1DDM6TF-NS6UV3FY-TEM2},2025-01-21 15:00:54,U0000,PC-5000,/company/announcements/training.pptx,File Open,0,False,Box assume man officer rather charge specific we be easy newspaper indicate other peace.,9417,15,1,21,0,1,0,0,1,0.008980751037597656,0,0
{VZ8KKD2D-96IK7ZIE-MYXA},2025-01-21 09:41:55,U0000,PC-5000,/company/policies/stand.doc,File Copy,0,False,Herself training father open investment notice art whether between several personal enough ball dream necessary.,6645,9,1,21,0,1,0,0,1,0.006337165832519531,0,2
{JIEUYP7P-RM99430U-1MW5},2025-01-22 09:20:38,U0000,PC-5000,/shared/templates/close.txt,File Open,0,False,Impact ready like allow explain executive teacher.,181769,9,2,22,0,1,0,0,1,0.17334842681884766,0,0
{P5RB9VDX-0BNH36WE-7GJ8},2025-01-22 19:57:20,U0000,PC-5000,/hr/onboarding/avoid.csv,File Write,0,False,Under skin person product value interesting name positive training step.,153443,19,2,22,0,1,0,0,0,0.14633464813232422,0,1
{9XYTCDMF-6E4Z1WMJ-ZEFZ},2025-01-22 19:40:05,U0000,PC-5000,/company/policies/away.pdf,File Open,0,False,Coach film see notice eye buy read record.,65907,19,2,22,0,1,0,0,1,0.06285381317138672,0,0
{XPTKD26A-1ADT63AO-TG4I},2025-01-22 12:42:37,U0000,PC-5000,/company/announcements/yes.docx,File Write,0,False,Matter management ball always it focus economy before while structure offer.,62020,12,2,22,0,1,0,0,1,0.059146881103515625,0,1
{VXEUSX4C-QEKIU6BX-HNZT},2025-01-22 13:22:49,U0000,PC-5000,/shared/resources/against.doc,File Copy,0,False,Office several compare million kind everything young job sport why like.,175594,13,2,22,0,1,0,0,1,0.16745948791503906,0,2
{SVC8OLWD-TH79GOV1-ONA6},2025-01-22 16:13:01,U0000,PC-5000,/shared/resources/issue.txt,File Open,0,False,Fly bit claim in many production hundred set already because education break.,76511,16,2,22,0,1,0,0,1,0.0729665756225586,0,0
{3UXPAEND-UPND29V3-ANHR},2025-01-22 18:15:45,U0000,PC-5000,/shared/resources/spring.doc,File Copy,0,False,Ten stay ability thank left approach million performance material kind appear environment capital.,89282,18,2,22,0,1,0,0,1,0.08514595031738281,0,2
{S50NZJUI-78DF9SSE-Q7WU},2025-01-23 12:44:22,U0000,PC-5000,/shared/documents/field.txt,File Open,0,False,Thing machine ahead picture son report financial add impact different success box water.,50338,12,3,23,0,1,0,0,1,0.04800605773925781,0,0
{QWHR1E0E-8GMTEXZW-E0QD},2025-01-23 13:45:40,U0000,PC-5000,/hr/benefits/raise.doc,File Copy,0,False,Marriage respond meeting event strong woman during necessary himself.,22213,13,3,23,0,1,0,0,0,0.02118396759033203,0,2
{EOPZ8C57-2MPORGJ5-T2PX},2025-01-23 12:54:06,U0000,PC-5000,/company/announcements/will.txt,File Write,0,False,Meet these tell everybody so increase various meet star executive fear only your majority chance Mrs.,70753,12,3,23,0,1,0,0,1,0.0674753189086914,0,1
{A49XJYVA-KXLUG0N3-PI6W},2025-01-23 19:22:05,U0000,PC-5000,/hr/onboarding/hair.xlsx,File Copy,0,False,Necessary myself lay focus country recently occur do simply analysis seat relate.,151378,19,3,23,0,1,0,0,0,0.1443653106689453,0,2
{0RZ4XG8I-41RVA7MU-DENC},2025-01-23 19:51:47,U0000,PC-5000,/hr/policies/talk.pdf,File Write,0,False,History professional star wonder manager already maybe opportunity thank them key moment.,106827,19,3,23,0,1,0,0,0,0.10187816619873047,0,1
{2PS5U9Q1-PG4VIGPD-98GO},2025-01-23 14:28:35,U0000,PC-5000,/shared/documents/loss.xlsx,File Copy,0,False,Reveal improve pressure child light wide full.,12172,14,3,23,0,1,0,0,1,0.011608123779296875,0,2
{GXJEQ4AY-94EH1EWC-F5YB},2025-01-23 12:32:04,U0000,PC-5000,/shared/documents/room.docx,File Open,0,False,Power system system teacher here first responsibility service their along attention piece TV.,114928,12,3,23,0,1,0,0,1,0.1096038818359375,0,0
{T1ZNI1MK-SLO87TQG-DST7},2025-01-23 18:25:30,U0000,PC-5000,/hr/policies/dream.csv,File Open,0,False,Its better plant their kitchen really tough animal.,119794,18,3,23,0,1,0,0,0,0.11424446105957031,0,0
{35VJ8QCN-XHB9FP9Z-SQDF},2025-01-23 10:15:24,U0000,PC-5000,/hr/benefits/style.doc,File Open,0,False,Fall hear certainly most not society color bad.,91340,10,3,23,0,1,0,0,0,0.08710861206054688,0,0
{83DE2NGT-G5HAXQZV-K9ZW},2025-01-24 18:52:57,U0000,PC-5000,/shared/resources/truth.xlsx,File Write,0,False,People drive tree central leave effect effort act source top quality citizen.,133282,18,4,24,0,1,0,0,1,0.1271076202392578,0,1
{O3DEEI9Y-RJW8MM5W-7HA7},2025-01-24 14:57:27,U0000,PC-5000,/company/policies/letter.docx,File Open,0,False,Write federal while real lead few yourself table blood high grow fast.,91131,14,4,24,0,1,0,0,1,0.08690929412841797,0,0
{L9XG28MD-VWWFCCE9-F1A2},2025-01-24 09:18:11,U0000,PC-5000,/company/announcements/scene.doc,File Write,0,False,Against stop how account ten sing wind treat seat strategy total.,106491,9,4,24,0,1,0,0,1,0.10155773162841797,0,1
{WEWZ20D7-45IBB5BY-JB3G},2025-01-24 16:59:43,U0000,PC-5000,/hr/policies/stand.pdf,File Write,0,False,Parent good PM per question return process stuff pick tough.,124511,16,4,24,0,1,0,0,0,0.1187429428100586,0,1
{ZDH4MQWE-12IUGVF2-GJT5},2025-01-24 07:19:37,U0000,PC-5000,/company/policies/race.pdf,File Write,0,False,Final kid often run bed far section.,141205,7,4,24,0,1,0,0,1,0.13466358184814453,0,1
{Q2LHMVFU-JIC51MIQ-UY5C},2025-01-24 07:31:49,U0000,PC-5000,/company/announcements/continue.csv,File Write,0,False,Car much will most tree store either station loss southern.,119219,7,4,24,0,1,0,0,1,0.11369609832763672,0,1
{YEFFXJJU-KQ22TS2O-W5L8},2025-01-24 08:25:02,U0000,PC-5000,/shared/templates/skin.pptx,File Copy,0,False,Sound life away senior difficult put purpose however suffer newspaper bed house.,123025,8,4,24,0,1,0,0,1,0.1173257827758789,0,2
{0DEZRH2D-ITP2XE1H-VLN7},2025-01-27 18:16:11,U0000,PC-5000,/shared/resources/everything.pdf,File Copy,0,False,Buy happy see energy herself police he push likely people wall foreign particular positive play.,37816,18,0,27,0,1,0,0,1,0.03606414794921875,0,2
{P4AOQWYC-WYUIW0JU-FZM8},2025-01-27 17:58:09,U0000,PC-5000,/company/announcements/majority.csv,File Open,0,False,Power bring animal also you break doctor Mr home he we.,34304,17,0,27,0,1,0,0,1,0.03271484375,0,0
{UG7SY3SZ-50AIST7M-NOED},2025-01-27 10:36:07,U0000,PC-5000,/hr/onboarding/same.csv,File Copy,0,False,Industry score choice increase between majority impact week allow have kitchen wear talk between rate.,173831,10,0,27,0,1,0,0,0,0.16577816009521484,0,2
{FQ717Y5G-ISE6JN59-C4JV},2025-01-27 08:16:26,U0000,PC-5000,/shared/resources/off.pdf,File Write,0,False,Art every why we station begin deep police wife anything four writer.,167356,8,0,27,0,1,0,0,1,0.15960311889648438,0,1
{HTLK2DXF-692XSUHE-BMVC},2025-01-27 12:13:41,U0000,PC-5000,/shared/templates/stop.xlsx,File Copy,0,False,Day stop never only spend do similar small other everyone worker would music sometimes body.,101906,12,0,27,0,1,0,0,1,0.09718513488769531,0,2
{XGZF8LCR-O2P36Y5H-TTNO},2025-01-27 16:33:39,U0000,PC-5000,/hr/policies/trial.txt,File Open,0,False,Capital group small open administration enter camera.,184868,16,0,27,0,1,0,0,0,0.17630386352539062,0,0
{HYKXGXVV-0FHLGEMJ-9PJP},2025-01-27 11:03:43,U0000,PC-5000,/shared/documents/know.txt,File Write,0,False,Box as large gun order later develop past road training probably feeling poor all your.,131053,11,0,27,0,1,0,0,1,0.12498188018798828,0,1
{AWJGEWJ2-81RA4N9F-O80X},2025-01-28 14:03:27,U0000,PC-5000,/shared/resources/throw.pdf,File Write,0,False,International blue Republican kitchen tonight focus chance call person one Republican herself our.,79234,14,1,28,0,1,0,0,1,0.07556343078613281,0,1
{AN7KNMSH-OQFUKUH8-F0T8},2025-01-28 19:49:56,U0000,PC-5000,/shared/resources/financial.csv,File Write,0,False,Measure involve soldier boy pressure there necessary tend involve thousand including still human role.,93220,19,1,28,0,1,0,0,1,0.08890151977539062,0,1
{ABWM15GM-80BGH9DJ-8D37},2025-01-28 18:45:45,U0000,PC-5000,/company/policies/form.txt,File Copy,0,False,Fine effort well rather listen before be it season head candidate art what.,152649,18,1,28,0,1,0,0,1,0.14557743072509766,0,2
{FB5X34BX-K25PWI6R-U4BJ},2025-01-28 10:41:28,U0000,PC-5000,/hr/benefits/or.pdf,File Copy,0,False,Prove improve them wait institution trouble anything explain fine billion medical choice.,69340,10,1,28,0,1,0,0,0,0.06612777709960938,0,2
{G3UQKBDL-8JY46SRU-M2L7},2025-01-28 12:37:06,U0000,PC-5000,/company/announcements/meet.doc,File Write,0,False,Suggest glass news boy everything difficult investment night should perform.,99052,12,1,28,0,1,0,0,1,0.09446334838867188,0,1
{WUWOSYLR-OIAW9UQX-DDL9},2025-01-28 16:37:53,U0000,PC-5000,/hr/onboarding/Republican.pptx,File Write,0,False,Ago upon stop environment Congress reflect finally fund accept thank not husband center plan air.,53305,16,1,28,0,1,0,0,0,0.050835609436035156,0,1
{59R4KPIQ-701PMPYD-KOXZ},2025-01-28 16:11:49,U0000,PC-5000,/company/announcements/skin.xlsx,File Write,0,False,Democrat information game have return since nothing be apply church pay purpose evening product magazine.,41329,16,1,28,0,1,0,0,1,0.039414405822753906,0,1
{6ESKTLWJ-0GDECF77-SY2U},2025-01-28 08:25:51,U0000,PC-5000,/shared/resources/letter.docx,File Open,0,False,Event sense box involve exist question main project animal house out account feeling.,82451,8,1,28,0,1,0,0,1,0.07863140106201172,0,0
{QKJU9YUD-V35GSGCJ-2TJ2},2025-01-29 11:04:03,U0000,PC-5000,/hr/benefits/development.doc,File Copy,0,False,Share face build market issue can mouth discover next.,22408,11,2,29,0,1,0,0,0,0.02136993408203125,0,2
{S2Q0OKLG-LQ8N5W3X-OPW7},2025-01-29 18:00:32,U0000,PC-5000,/company/policies/relate.doc,File Write,0,False,Author technology amount affect TV television office of remember individual boy again.,52301,18,2,29,0,1,0,0,1,0.04987812042236328,0,1
{ZZSPA57I-3K0MU85B-G6AH},2025-01-29 07:30:49,U0000,PC-5000,/company/announcements/garden.docx,File Open,0,False,Soon peace story turn because such during open model.,35482,7,2,29,0,1,0,0,1,0.03383827209472656,0,0
{K7FSPEN8-ZJ6D553Q-BKLM},2025-01-29 15:46:20,U0000,PC-5000,/hr/policies/individual.docx,File Write,0,False,Second develop single baby plan most create simply go when population.,147046,15,2,29,0,1,0,0,0,0.14023399353027344,0,1
{615ISAYA-WVTPR2FJ-LLAF},2025-01-29 14:40:38,U0000,PC-5000,/hr/policies/choose.csv,File Open,0,False,Bill eight community check service away week physical less nor.,114060,14,2,29,0,1,0,0,0,0.10877609252929688,0,0
{H83316ZF-FFKEC1OC-HSXC},2025-01-29 09:10:07,U0000,PC-5000,/hr/onboarding/particularly.pdf,File Open,0,False,Race think poor worry follow wife firm key light place someone option goal avoid.,164428,9,2,29,0,1,0,0,0,0.15681076049804688,0,0
{9FYGG7K1-9EVQBZ1O-F6DX},2025-01-29 19:34:37,U0000,PC-5000,/shared/templates/main.txt,File Open,0,False,Also hard expert popular within bed order his oil west school American training occur.,176470,19,2,29,0,1,0,0,1,0.16829490661621094,0,0
{X3JERZ59-67W921FG-MYQB},2025-01-30 19:44:20,U0000,PC-5000,/hr/benefits/cup.doc,File Write,0,False,Painting may whatever late specific study word base position always remain yard.,69147,19,3,30,0,1,0,0,0,0.06594371795654297,0,1
{H944FB69-BX32IXQI-PXRN},2025-01-30 14:16:32,U0000,PC-5000,/shared/resources/need.pptx,File Copy,0,False,Particular hair truth hold simple quickly appear piece free form newspaper hit edge surface who.,18685,14,3,30,0,1,0,0,1,0.01781940460205078,0,2
{6L4ILIH1-VBI09V82-CP0Y},2025-01-30 15:22:37,U0000,PC-5000,/company/announcements/player.doc,File Copy,0,False,Four old center glass whose recognize hot organization visit.,191629,15,3,30,0,1,0,0,1,0.18275165557861328,0,2
{E06QWFT5-2MFX1LEQ-I9FC},2025-01-30 14:24:48,U0000,PC-5000,/hr/benefits/force.pdf,File Copy,0,False,Heavy social spend prove stock school rate money position interest gun guy Congress degree way.,194554,14,3,30,0,1,0,0,0,0.18554115295410156,0,2
{WLOQKIE6-QKKY22UB-Z8ZR},2025-01-30 18:44:53,U0000,PC-5000,/shared/documents/mention.doc,File Write,0,False,Difficult case baby such big side strong this also from.,121970,18,3,30,0,1,0,0,1,0.11631965637207031,0,1
{99UEY09A-HK6R92Z2-A3WG},2025-01-30 14:33:57,U0000,PC-5000,/hr/policies/space.docx,File Open,0,False,Capital heavy class story side speak close join improve put down know expect security large move.,5757,14,3,30,0,1,0,0,0,0.005490303039550781,0,0
{JD7PHFZN-Y2J6W90D-WRN4},2025-01-30 19:53:14,U0000,PC-5000,/hr/policies/for.docx,File Write,0,False,Tough create question now key show sing me industry class current painting their appear.,198001,19,3,30,0,1,0,0,0,0.1888284683227539,0,1
{5RBV6I2X-4O5DBGJP-QOHB},2025-01-30 16:29:14,U0000,PC-5000,/hr/benefits/medical.pptx,File Open,0,False,Never bill suffer surface expect several evening town challenge join watch develop.,153910,16,3,30,0,1,0,0,0,0.14678001403808594,0,0
{OBXZ8043-JJCTCDJF-2GMQ},2025-01-30 10:34:04,U0000,PC-5000,/company/announcements/little.doc,File Copy,0,False,Us increase how hear history bank different five between research friend certainly.,72485,10,3,30,0,1,0,0,1,0.06912708282470703,0,2
{MK4AF077-GY3FY4G2-07YI},2025-01-30 07:47:06,U0000,PC-5000,/shared/documents/American.txt,File Open,0,False,True line story serve light past town affect democratic change vote.,134585,7,3,30,0,1,0,0,1,0.12835025787353516,0,0
{FQ12PQQX-SJAG787L-6K1C},2025-01-31 18:17:14,U0000,PC-5000,/company/policies/politics.pdf,File Copy,0,False,Institution simply down business draw police performance artist student matter movie place offer responsibility fact.,62304,18,4,31,0,1,0,0,1,0.059417724609375,0,2
{SDZ1OFED-R1OAI3A7-TC2A},2025-01-31 13:50:34,U0000,PC-5000,/company/policies/ability.csv,File Copy,0,False,Good number cost property model guess well name skill medical after them analysis hit health section.,165025,13,4,31,0,1,0,0,1,0.1573801040649414,0,2
{0HXCTYB6-GCSWIYF9-JKNX},2025-01-31 14:54:44,U0000,PC-5000,/shared/documents/heavy.doc,File Open,0,False,General run pick sign same forward and national.,136899,14,4,31,0,1,0,0,1,0.13055706024169922,0,0
{6Z4K230Q-3QA7UQ10-EA1E},2025-01-31 12:46:18,U0000,PC-5000,/company/announcements/teach.docx,File Copy,0,False,Store range wonder long consider care respond want already.,117310,12,4,31,0,1,0,0,1,0.11187553405761719,0,2
{DULZ44HB-R4RBCSC8-76H2},2025-01-31 14:27:38,U0000,PC-5000,/shared/templates/defense.docx,File Write,0,False,Social though firm financial huge spring list.,123657,14,4,31,0,1,0,0,1,0.11792850494384766,0,1
{G6GZ10VG-P215KRGT-5SB6},2025-01-31 18:50:35,U0000,PC-5000,/company/policies/although.pdf,File Open,0,False,Experience television answer pretty event son join hundred keep what.,20651,18,4,31,0,1,0,0,1,0.01969432830810547,0,0
{GUCF1EK6-OP6XSA8R-VJWH},2025-01-31 09:22:56,U0000,PC-5000,/hr/policies/group.doc,File Open,0,False,Many marriage under mind song risk bad own state.,70566,9,4,31,0,1,0,0,0,0.06729698181152344,0,0
{0DVNU48U-3CFS990M-2M6J},2025-02-03 12:05:13,U0000,PC-5000,/shared/templates/offer.txt,File Write,0,False,Fly bag produce fill owner international ready goal amount thank good.,30447,12,0,3,0,1,0,0,1,0.029036521911621094,0,1
{YB5BQ5TZ-9WF55R0Z-B6MI},2025-02-03 12:59:25,U0000,PC-5000,/shared/resources/learn.pptx,File Open,0,False,Police social arm provide image message seek civil all support question.,153557,12,0,3,0,1,0,0,1,0.14644336700439453,0,0
{JK237WIA-UTL2QPIN-YSU8},2025-02-03 18:51:07,U0000,PC-5000,/hr/benefits/left.pdf,File Write,0,False,Call door population gun we allow check.,45234,18,0,3,0,1,0,0,0,0.04313850402832031,0,1
{OR7AZ48Q-QEW0RJAO-KYMJ},2025-02-03 12:57:05,U0000,PC-5000,/hr/policies/listen.pdf,File Open,0,False,Head several off morning huge power economic box save material hit no.,112729,12,0,3,0,1,0,0,0,0.10750675201416016,0,0
{XLSUCXU3-T4ZBE4IM-CX15},2025-02-03 17:45:11,U0000,PC-5000,/shared/resources/everybody.pdf,File Open,0,False,Region Democrat partner really your customer career available common require young.,88260,17,0,3,0,1,0,0,1,0.08417129516601562,0,0
{MJ8RX2JM-ZRVCF7C8-T3LH},2025-02-03 15:40:25,U0000,PC-5000,/shared/documents/take.txt,File Open,0,False,Property remember nearly face feel church remember record company gun difference world.,193746,15,0,3,0,1,0,0,1,0.1847705841064453,0,0
{1PBTVR9S-L5VX974P-PWWL},2025-02-03 17:04:48,U0000,PC-5000,/company/policies/structure.pptx,File Open,0,False,Door management guess occur level work candidate this assume.,109089,17,0,3,0,1,0,0,1,0.1040353775024414,0,0
{XZGGRQSL-LKRYAB12-0TSG},2025-02-03 08:36:35,U0000,PC-5000,/company/announcements/information.txt,File Write,0,False,Moment shoulder statement available win politics last quite general there sister policy consider whom.,121755,8,0,3,0,1,0,0,1,0.11611461639404297,0,1
{4ZL9C3PF-Q67M7NO5-WTT3},2025-02-03 15:50:23,U0000,PC-5000,/shared/resources/lead.csv,File Open,0,False,Treat area buy check clearly follow remember generation wait thus suffer economy play nearly.,65723,15,0,3,0,1,0,0,1,0.06267833709716797,0,0
