id,date,user,pc,activity,source_ip,status,hour,day_of_week,day_of_month,is_weekend,is_working_hours,is_late_night,is_failed_login,is_external_ip,is_logoff
{JJQ9K6RE-4Q6QDY4L-MCT6},2025-01-16 19:35:07,U0001,PC-5001,Logoff,192.168.1.21,Success,19,3,16,0,1,0,0,0,1
{Z7W2SEHE-2ATN2TWD-L9ZS},2025-01-17 08:54:10,U0001,PC-5001,Logon,192.168.1.21,Success,8,4,17,0,1,0,0,0,0
{3C9XQYM5-2XG8P6BE-FFLZ},2025-01-17 19:49:26,U0001,PC-5001,Logoff,192.168.1.21,Success,19,4,17,0,1,0,0,0,1
{4JWTEKTS-G7FXZV4U-3BBX},2025-01-20 08:57:18,U0001,PC-5001,Logon,192.168.1.21,Success,8,0,20,0,1,0,0,0,0
{X1OXRWK8-R2YKCCPR-HVLZ},2025-01-20 19:36:16,U0001,PC-5001,Logoff,192.168.1.21,Success,19,0,20,0,1,0,0,0,1
{MO1SDIEQ-FB85P863-7ZGF},2025-01-21 08:46:55,U0001,PC-5001,Logon,192.168.1.21,Success,8,1,21,0,1,0,0,0,0
{RLA8S8HM-BR5XQT4P-501N},2025-01-21 19:32:29,U0001,PC-5001,Logoff,192.168.1.21,Success,19,1,21,0,1,0,0,0,1
{UHTCS1K9-YE9O2M71-HSSB},2025-01-22 08:25:03,U0001,PC-5001,Logon,192.168.1.21,Success,8,2,22,0,1,0,0,0,0
{LRQVSLWF-90KM3TZK-3NY9},2025-01-22 19:08:45,U0001,PC-5001,Logoff,192.168.1.21,Success,19,2,22,0,1,0,0,0,1
{20YAR821-UZVGWW4F-YB8D},2025-01-23 08:37:19,U0001,PC-5001,Logon,192.168.1.21,Success,8,3,23,0,1,0,0,0,0
{LFYO1750-CEHLXSLG-6MM1},2025-01-23 19:01:28,U0001,PC-5001,Logoff,192.168.1.21,Success,19,3,23,0,1,0,0,0,1
{XYVGIUI9-KKHZLM72-JEYN},2025-01-24 08:46:43,U0001,PC-5001,Logon,192.168.1.21,Success,8,4,24,0,1,0,0,0,0
{M1FB8C7X-0H3JUJD0-IB6I},2025-01-24 19:25:52,U0001,PC-5001,Logoff,192.168.1.21,Success,19,4,24,0,1,0,0,0,1
{RYE89FX5-RX1KKC1X-I04B},2025-01-27 08:21:45,U0001,PC-5001,Logon,192.168.1.21,Success,8,0,27,0,1,0,0,0,0
{P47B42G0-5KBKV7MQ-XS6E},2025-01-27 19:58:11,U0001,PC-5001,Logoff,192.168.1.21,Success,19,0,27,0,1,0,0,0,1
{J3L0XZAM-KYGVWOPL-OD9R},2025-01-28 08:32:29,U0001,PC-5001,Logon,192.168.1.21,Success,8,1,28,0,1,0,0,0,0
{ANQJLUUJ-MIYQFY75-1YW7},2025-01-28 19:59:15,U0001,PC-5001,Logoff,192.168.1.21,Success,19,1,28,0,1,0,0,0,1
{H8RQ9NZ6-1231YV2S-TN7E},2025-01-29 08:23:39,U0001,PC-5001,Logon,192.168.1.21,Success,8,2,29,0,1,0,0,0,0
{6HTF4PYZ-R6QCEOUU-YLAJ},2025-01-29 19:53:35,U0001,PC-5001,Logoff,192.168.1.21,Success,19,2,29,0,1,0,0,0,1
{HCPZTC69-QKGEX08N-6Q7N},2025-01-30 08:00:47,U0001,PC-5001,Logon,192.168.1.21,Success,8,3,30,0,1,0,0,0,0
{85E4E9OE-9419QZPN-IQFG},2025-01-30 19:05:43,U0001,PC-5001,Logoff,192.168.1.21,Success,19,3,30,0,1,0,0,0,1
{1BXW76IC-VQY5IBPT-11F9},2025-01-31 08:56:46,U0001,PC-5001,Logon,192.168.1.21,Success,8,4,31,0,1,0,0,0,0
{6UU13I59-SOJUV0GY-UBMX},2025-01-31 19:14:52,U0001,PC-5001,Logoff,192.168.1.21,Success,19,4,31,0,1,0,0,0,1
{OKGTII4F-QCOOTNJL-CQNT},2025-02-03 08:44:26,U0001,PC-5001,Logon,192.168.1.21,Success,8,0,3,0,1,0,0,0,0
{BNVBC2VY-HH6K6HG0-016Z},2025-02-03 19:53:12,U0001,PC-5001,Logoff,192.168.1.21,Success,19,0,3,0,1,0,0,0,1
{OILKQXLM-5Q201LHL-B50A},2025-02-04 08:45:13,U0001,PC-5001,Logon,192.168.1.21,Success,8,1,4,0,1,0,0,0,0
{VZKHIUIT-7M1R00Q0-MFTG},2025-02-04 19:35:59,U0001,PC-5001,Logoff,192.168.1.21,Success,19,1,4,0,1,0,0,0,1
{98S4C3BA-EWCFHQCW-76XA},2025-02-05 08:56:34,U0001,PC-5001,Logon,192.168.1.21,Success,8,2,5,0,1,0,0,0,0
{OAZTKSZP-7G7SIWJM-2C8Q},2025-02-05 19:34:35,U0001,PC-5001,Logoff,192.168.1.21,Success,19,2,5,0,1,0,0,0,1
{IY4X41DN-TCAGRP2U-4DTB},2025-02-06 08:15:44,U0001,PC-5001,Logon,192.168.1.21,Success,8,3,6,0,1,0,0,0,0
{55RBC76U-B7L8V1ZO-CFI4},2025-02-06 19:13:57,U0001,PC-5001,Logoff,192.168.1.21,Success,19,3,6,0,1,0,0,0,1
{6L1F90S9-BP4M18O1-BJ9R},2025-02-07 08:24:43,U0001,PC-5001,Logon,192.168.1.21,Success,8,4,7,0,1,0,0,0,0
{7PYXDW2Z-CFZW0LDA-LMJE},2025-02-07 19:22:35,U0001,PC-5001,Logoff,192.168.1.21,Success,19,4,7,0,1,0,0,0,1
{OAMDVLNK-ND669UGN-EKRC},2025-02-10 08:35:32,U0001,PC-5001,Logon,192.168.1.21,Success,8,0,10,0,1,0,0,0,0
{PRCJIWVH-DK8LW2LM-349E},2025-02-10 19:27:17,U0001,PC-5001,Logoff,192.168.1.21,Success,19,0,10,0,1,0,0,0,1
{8HL88KZR-UIN3OEUV-TYT8},2025-02-11 08:20:38,U0001,PC-5001,Logon,192.168.1.21,Success,8,1,11,0,1,0,0,0,0
{H23C42YF-KJFPNQVU-T75P},2025-02-11 19:29:45,U0001,PC-5001,Logoff,192.168.1.21,Success,19,1,11,0,1,0,0,0,1
{8Z3V6DIX-FWUXX8L2-DDH0},2025-02-12 08:02:50,U0001,PC-5001,Logon,192.168.1.21,Success,8,2,12,0,1,0,0,0,0
{YHNQYYF9-RK7D30MM-2SMD},2025-02-12 19:35:37,U0001,PC-5001,Logoff,192.168.1.21,Success,19,2,12,0,1,0,0,0,1
{QCBZAMD2-70STLPQ2-WGXO},2025-02-13 08:46:44,U0001,PC-5001,Logon,192.168.1.21,Success,8,3,13,0,1,0,0,0,0
{5QPAHKZ2-U2TNHEYR-8LNO},2025-02-13 19:47:39,U0001,PC-5001,Logoff,192.168.1.21,Success,19,3,13,0,1,0,0,0,1
{MQGY27VY-LIENFNVU-PRT7},2025-01-15 07:07:22,U0002,PC-5002,Logon,192.168.1.22,Success,7,2,15,0,1,0,0,0,0
{TRFLQBMA-E38SRYO4-RCB1},2025-01-15 16:59:11,U0002,PC-5002,Logoff,192.168.1.22,Success,16,2,15,0,1,0,0,0,1
{JTGQ01TE-E13N3BZT-9D31},2025-01-16 07:18:02,U0002,PC-5002,Logon,192.168.1.22,Success,7,3,16,0,1,0,0,0,0
{9QM3P91I-3VMZWFFH-HCMK},2025-01-16 16:19:55,U0002,PC-5002,Logoff,192.168.1.22,Success,16,3,16,0,1,0,0,0,1
{LZKJ49YD-82795E5I-Z31Y},2025-01-17 07:34:10,U0002,PC-5002,Logon,192.168.1.22,Success,7,4,17,0,1,0,0,0,0
{UJOQW5DS-K7N8LA10-0QXM},2025-01-17 16:31:09,U0002,PC-5002,Logoff,192.168.1.22,Success,16,4,17,0,1,0,0,0,1
{HPHJ3MUU-RMYBD2QE-4PA8},2025-01-18 14:25:00,U0002,PC-5002,Logon,192.168.1.22,Success,14,5,18,1,1,0,0,0,0
{EXF7JXJN-6FOKZIXZ-AREI},2025-01-20 07:44:58,U0002,PC-5002,Logon,192.168.1.22,Success,7,0,20,0,1,0,0,0,0
{AZ39PECN-0DL5E11E-9FTA},2025-01-20 16:43:28,U0002,PC-5002,Logoff,192.168.1.22,Success,16,0,20,0,1,0,0,0,1
{P0WFOY4D-D1VN8LFJ-DTVV},2025-01-21 07:41:10,U0002,PC-5002,Logon,192.168.1.22,Success,7,1,21,0,1,0,0,0,0
{A45HVGOX-22INIWC5-AMLN},2025-01-21 16:49:44,U0002,PC-5002,Logoff,192.168.1.22,Success,16,1,21,0,1,0,0,0,1
{PTGQ9CVA-H78OKZ1P-OXTF},2025-01-22 07:53:36,U0002,PC-5002,Logon,192.168.1.22,Success,7,2,22,0,1,0,0,0,0
{C79FLV1X-XLP8II7E-WBXX},2025-01-22 16:05:19,U0002,PC-5002,Logoff,192.168.1.22,Success,16,2,22,0,1,0,0,0,1
{AEARMS3J-N050E6MP-SJ9W},2025-01-23 07:11:07,U0002,PC-5002,Logon,192.168.1.22,Success,7,3,23,0,1,0,0,0,0
{SB4GF16Y-E0A4ABN7-G8B2},2025-01-23 16:31:29,U0002,PC-5002,Logoff,192.168.1.22,Success,16,3,23,0,1,0,0,0,1
{XII6L3UE-YBISBO55-1LDQ},2025-01-24 07:45:47,U0002,PC-5002,Logon,192.168.1.22,Success,7,4,24,0,1,0,0,0,0
{K20IN891-0T2F7ATW-YAM1},2025-01-24 16:23:12,U0002,PC-5002,Logoff,192.168.1.22,Success,16,4,24,0,1,0,0,0,1
{H9P89FKB-I4O6Q0US-WOVC},2025-01-27 07:19:06,U0002,PC-5002,Logon,192.168.1.22,Success,7,0,27,0,1,0,0,0,0
{IJL2Z0LJ-CH2VFFQO-T8HL},2025-01-27 16:42:08,U0002,PC-5002,Logoff,192.168.1.22,Success,16,0,27,0,1,0,0,0,1
{EFY3ZB4L-DIMSYJ9B-OQ0I},2025-01-28 07:16:54,U0002,PC-5002,Logon,192.168.1.22,Success,7,1,28,0,1,0,0,0,0
{2FA39E3N-WXUJ3AC6-PE63},2025-01-28 16:29:06,U0002,PC-5002,Logoff,192.168.1.22,Success,16,1,28,0,1,0,0,0,1
{BQGU3OBY-GHGK5BWI-KOTC},2025-01-29 07:21:07,U0002,PC-5002,Logon,192.168.1.22,Success,7,2,29,0,1,0,0,0,0
{EH5SW229-2MTR6SNG-LH62},2025-01-29 16:17:24,U0002,PC-5002,Logoff,192.168.1.22,Success,16,2,29,0,1,0,0,0,1
{9T199DXJ-37C9H42M-44GV},2025-01-30 07:03:51,U0002,PC-5002,Logon,192.168.1.22,Success,7,3,30,0,1,0,0,0,0
{Z6BZ8UUG-95RLRDIH-SA7H},2025-01-30 16:51:47,U0002,PC-5002,Logoff,192.168.1.22,Success,16,3,30,0,1,0,0,0,1
{Z74LAV71-448N7ODK-EF82},2025-01-31 07:08:21,U0002,PC-5002,Logon,192.168.1.22,Success,7,4,31,0,1,0,0,0,0
{LZU6WMX3-N0KGAZU4-1UGL},2025-01-31 16:31:41,U0002,PC-5002,Logoff,192.168.1.22,Success,16,4,31,0,1,0,0,0,1
{DRLCMLW8-3Y0MAHYM-2ZBP},2025-02-03 07:40:36,U0002,PC-5002,Logon,192.168.1.22,Success,7,0,3,0,1,0,0,0,0
{5RNTDR5X-YFC4KL8C-GN0T},2025-02-03 16:26:10,U0002,PC-5002,Logoff,192.168.1.22,Success,16,0,3,0,1,0,0,0,1
{M96ZPXVP-BL9OT7TX-KDOT},2025-02-04 07:57:05,U0002,PC-5002,Logon,192.168.1.22,Success,7,1,4,0,1,0,0,0,0
{BAD3WRDH-W9RE2Q6J-XNNN},2025-02-04 16:31:09,U0002,PC-5002,Logoff,192.168.1.22,Success,16,1,4,0,1,0,0,0,1
{BPJ4UFZD-Y3O1ICNS-8Y7U},2025-02-05 07:11:28,U0002,PC-5002,Logon,192.168.1.22,Success,7,2,5,0,1,0,0,0,0
{KO4BUSU9-F8Q8GHGB-CYH3},2025-02-05 16:15:30,U0002,PC-5002,Logoff,192.168.1.22,Success,16,2,5,0,1,0,0,0,1
{VL03DUT4-S7AZV2EF-UU8D},2025-02-06 07:09:53,U0002,PC-5002,Logon,192.168.1.22,Success,7,3,6,0,1,0,0,0,0
{22555JXU-RGOWYOO5-YBRJ},2025-02-06 16:06:36,U0002,PC-5002,Logoff,192.168.1.22,Success,16,3,6,0,1,0,0,0,1
{M2L44Y9I-K01L0VDP-6ORS},2025-02-07 07:23:01,U0002,PC-5002,Logon,192.168.1.22,Success,7,4,7,0,1,0,0,0,0
{C2CZO2SU-G5HCBBMH-NQO7},2025-02-07 16:23:52,U0002,PC-5002,Logoff,192.168.1.22,Success,16,4,7,0,1,0,0,0,1
{Q8RTM4J3-DAB42HHI-HXS5},2025-02-10 07:31:38,U0002,PC-5002,Logon,192.168.1.22,Success,7,0,10,0,1,0,0,0,0
{A6XVAJ2K-8XPNMJQY-3ODS},2025-02-10 16:49:43,U0002,PC-5002,Logoff,192.168.1.22,Success,16,0,10,0,1,0,0,0,1
{4UVKYRMJ-LJX8XGSI-C43O},2025-02-11 07:42:53,U0002,PC-5002,Logon,192.168.1.22,Success,7,1,11,0,1,0,0,0,0
{FARK6O0U-93MZYWR7-MKGX},2025-02-11 16:20:43,U0002,PC-5002,Logoff,192.168.1.22,Success,16,1,11,0,1,0,0,0,1
{KQ00U686-XII5P5NV-QEBW},2025-02-12 07:35:11,U0002,PC-5002,Logon,192.168.1.22,Success,7,2,12,0,1,0,0,0,0
{C6S5NKB4-EHOU6QLZ-2RWG},2025-02-12 16:37:39,U0002,PC-5002,Logoff,192.168.1.22,Success,16,2,12,0,1,0,0,0,1
{AJ1G1R1D-WWO8NBHN-AL3G},2025-02-13 07:40:03,U0002,PC-5002,Logon,192.168.1.22,Success,7,3,13,0,1,0,0,0,0
{WIYMENVG-3KK0VM59-M6MG},2025-02-13 16:43:00,U0002,PC-5002,Logoff,192.168.1.22,Success,16,3,13,0,1,0,0,0,1
{3AI9HASE-Z2NX1WVB-D4BE},2025-01-15 10:58:58,U0003,PC-5003,Logon,192.168.1.23,Success,10,2,15,0,1,0,0,0,0
{EJZHYAPD-SWZP6SWK-2RV2},2025-01-15 16:28:24,U0003,PC-5003,Logoff,192.168.1.23,Success,16,2,15,0,1,0,0,0,1
{9MOFT6YR-IADDUR82-C06X},2025-01-16 10:53:33,U0003,PC-5003,Logon,192.168.1.23,Success,10,3,16,0,1,0,0,0,0
{JB354MYP-E46AEXL6-8J0N},2025-01-16 16:29:18,U0003,PC-5003,Logoff,192.168.1.23,Success,16,3,16,0,1,0,0,0,1
{EOQ4YRP5-GE094D6R-UPW2},2025-01-17 10:21:11,U0003,PC-5003,Logon,192.168.1.23,Success,10,4,17,0,1,0,0,0,0
{5506RR5P-CXA5S00I-85SY},2025-01-17 16:39:01,U0003,PC-5003,Logoff,192.168.1.23,Success,16,4,17,0,1,0,0,0,1
{RXXF36WA-7SQRF1LL-KSTN},2025-01-20 10:46:15,U0003,PC-5003,Logon,192.168.1.23,Success,10,0,20,0,1,0,0,0,0
{CPUDRL90-AOBT328W-6UXQ},2025-01-20 16:52:15,U0003,PC-5003,Logoff,192.168.1.23,Success,16,0,20,0,1,0,0,0,1
{334L1VZN-QDXAMW2T-ND6R},2025-01-21 10:21:23,U0003,PC-5003,Logon,192.168.1.23,Success,10,1,21,0,1,0,0,0,0
{0OJHE4H3-GM1BWYE6-QVS8},2025-01-21 16:52:45,U0003,PC-5003,Logoff,192.168.1.23,Success,16,1,21,0,1,0,0,0,1
{0TPV726Y-G3DXVL5P-VYIO},2025-01-22 10:00:33,U0003,PC-5003,Logon,192.168.1.23,Success,10,2,22,0,1,0,0,0,0
{QEOZ0KZ4-Z7WHWKMY-9X8S},2025-01-22 16:21:18,U0003,PC-5003,Logoff,192.168.1.23,Success,16,2,22,0,1,0,0,0,1
{LEMRUYP0-4K43SAFY-H1FK},2025-01-23 10:44:40,U0003,PC-5003,Logon,192.168.1.23,Success,10,3,23,0,1,0,0,0,0
{4YK1B3D5-050UI22K-X7N8},2025-01-23 16:16:09,U0003,PC-5003,Logoff,192.168.1.23,Success,16,3,23,0,1,0,0,0,1
{8B0H54PI-WZNV0H0G-Q9C8},2025-01-24 10:43:20,U0003,PC-5003,Logon,192.168.1.23,Success,10,4,24,0,1,0,0,0,0
{EBKJF4AQ-7B7V1W4K-2TCZ},2025-01-24 16:47:32,U0003,PC-5003,Logoff,192.168.1.23,Success,16,4,24,0,1,0,0,0,1
{2FTOM5XL-K8WRU1XE-MIX7},2025-01-27 10:33:04,U0003,PC-5003,Logon,192.168.1.23,Success,10,0,27,0,1,0,0,0,0
{YL68NTK6-3N2QB6GS-8G8T},2025-01-27 16:15:02,U0003,PC-5003,Logoff,192.168.1.23,Success,16,0,27,0,1,0,0,0,1
{CY15PDTZ-91X70FQL-DB2U},2025-01-28 10:00:40,U0003,PC-5003,Logon,192.168.1.23,Success,10,1,28,0,1,0,0,0,0
{IJNWPAYT-XW1VZC7D-2KD1},2025-01-28 16:36:52,U0003,PC-5003,Logoff,192.168.1.23,Success,16,1,28,0,1,0,0,0,1
{OXRTEO2T-8FY620N8-TTEA},2025-01-29 10:28:24,U0003,PC-5003,Logon,192.168.1.23,Success,10,2,29,0,1,0,0,0,0
{T8K06MOX-SFH4GG24-479Q},2025-01-29 16:38:25,U0003,PC-5003,Logoff,192.168.1.23,Success,16,2,29,0,1,0,0,0,1
{KCD0RLEX-DW6LQWLV-UNLP},2025-01-30 10:35:04,U0003,PC-5003,Logon,192.168.1.23,Success,10,3,30,0,1,0,0,0,0
{IH0P4E05-QMKTGV44-FTJ5},2025-01-30 16:00:20,U0003,PC-5003,Logoff,192.168.1.23,Success,16,3,30,0,1,0,0,0,1
{CASBUOV6-TT9Q1NI1-0KQS},2025-01-31 10:04:46,U0003,PC-5003,Logon,192.168.1.23,Success,10,4,31,0,1,0,0,0,0
{SX43WFSQ-G8X80RMH-RCNB},2025-01-31 16:25:23,U0003,PC-5003,Logoff,192.168.1.23,Success,16,4,31,0,1,0,0,0,1
{QQB9LZS3-4JTGXNX4-SN6S},2025-02-03 10:23:24,U0003,PC-5003,Logon,192.168.1.23,Success,10,0,3,0,1,0,0,0,0
{5RRVSFFC-XHGNZEI3-ZRRH},2025-02-03 16:22:52,U0003,PC-5003,Logoff,192.168.1.23,Success,16,0,3,0,1,0,0,0,1
{4ABUFWBU-CJG8VUAZ-XKDQ},2025-02-04 10:10:41,U0003,PC-5003,Logon,192.168.1.23,Success,10,1,4,0,1,0,0,0,0
{RHOFU1WS-GY7VCNEA-S6Y3},2025-02-04 16:30:55,U0003,PC-5003,Logoff,192.168.1.23,Success,16,1,4,0,1,0,0,0,1
{G6V5T1DX-6TA7YPP5-ZP7R},2025-02-05 10:38:06,U0003,PC-5003,Logon,192.168.1.23,Success,10,2,5,0,1,0,0,0,0
{M264UPJ1-6DVTJA0A-SSNH},2025-02-05 16:49:24,U0003,PC-5003,Logoff,192.168.1.23,Success,16,2,5,0,1,0,0,0,1
{ODPVJTUW-9OHTUGUR-9U1O},2025-02-06 10:51:20,U0003,PC-5003,Logon,192.168.1.23,Success,10,3,6,0,1,0,0,0,0
{5EI28DS2-2WYBOW23-QVDJ},2025-02-06 16:08:54,U0003,PC-5003,Logoff,192.168.1.23,Success,16,3,6,0,1,0,0,0,1
{V07OXK8C-1GRA47SH-2SZW},2025-02-07 10:23:05,U0003,PC-5003,Logon,192.168.1.23,Success,10,4,7,0,1,0,0,0,0
{MX9DJOYO-HAZ7T0UU-M3I8},2025-02-07 16:43:02,U0003,PC-5003,Logoff,192.168.1.23,Success,16,4,7,0,1,0,0,0,1
{GSUSMESJ-T2JPNRIM-1Y65},2025-02-10 10:00:16,U0003,PC-5003,Logon,192.168.1.23,Success,10,0,10,0,1,0,0,0,0
{JN2HZ2OM-TZJKO0MT-GLHU},2025-02-10 16:30:07,U0003,PC-5003,Logoff,192.168.1.23,Success,16,0,10,0,1,0,0,0,1
{Y6RH05HH-IWFD7YXW-1TBR},2025-02-11 10:11:47,U0003,PC-5003,Logon,192.168.1.23,Success,10,1,11,0,1,0,0,0,0
{R965R96K-HUB2RTSO-YG9Z},2025-02-11 16:39:20,U0003,PC-5003,Logoff,192.168.1.23,Success,16,1,11,0,1,0,0,0,1
